conversation_id	article_id	essay	empathy	distress	speaker_id	gender	education	race	age	income	personality_conscientiousness	personality_openess	personality_extraversion	personality_agreeableness	personality_stability	iri_perspective_taking	iri_personal_distress	iri_fantasy	iri_empathatic_concern	speaker_number	split	essay_id	emotion	essay_word_count	fear_count	anger_count	anticipation_count	trust_count	surprise_count	positive_count	negative_count	sadness_count	disgust_count	joy_count	hope_count	empathy_count	distress_count	essay+prompt	prompt
263	34	I feel sorry for the people living in that region. I hate that children have to go through that and have a life of war and no hope. I hope the UN helps the people with root of the problem and helps them get jobs,food, shelter, and healthcare. I hope the European countries allow some of the people to stay to take the pressure off their home countries.	6.666666666666667	6.625	30	1	6	3	37	40000	7.0	5.5	1.0	6.5	6.0	4.857	2.0	3.429	5.0	1	train	1587	Hope/Sadness	68	0.19047619047619047	0.09523809523809523	0.047619047619047616	0.047619047619047616	0.0	0.047619047619047616	0.23809523809523808	0.19047619047619047	0.09523809523809523	0.047619047619047616	0.08333333333333333	2.775095375385482	2.6827067277377967	I feel sorry for the people living in that region. I hate that children have to go through that and have a life of war and no hope. I hope the UN helps the people with root of the problem and helps them get jobs,food, shelter, and healthcare. I hope the European countries allow some of the people to stay to take the pressure off their home countries.'An essay written by a 37 years old female, postgradute or with a professional degree, with an income of 40000$.The essay expresses high empathy and high distress levels. The top emotions expressed in the essay are: trust, positive.'	An essay written by a 37 years old female, postgradute or with a professional degree, with an income of 40000$.The essay expresses high empathy and high distress levels. The top emotions expressed in the essay are: trust, positive.
430	397	This was sad and I hope they can do something about it.  I hate that the wildlife is suffering since it is so innocent.  Maybe the government should make more efforts to fix this situation or at least improve it.  I get that it takes resources to do things but maybe they could find some small way to make a difference.  It seems like the ecosystem is in serious danger if nothing is done so someone needs to act fast for the sake of the animals who are helpless victims of this situation.	1.5	1.0	24	2	7	1	38	42000	7.0	3.5	6.5	5.5	6.5	3.429	2.714	2.571	3.857	2	train	1589	Hope/Sadness	93														This was sad and I hope they can do something about it.  I hate that the wildlife is suffering since it is so innocent.  Maybe the government should make more efforts to fix this situation or at least improve it.  I get that it takes resources to do things but maybe they could find some small way to make a difference.  It seems like the ecosystem is in serious danger if nothing is done so someone needs to act fast for the sake of the animals who are helpless victims of this situation.'An essay written by a 38 years old female, postgradute or with a professional degree, with an income of 42000$.The essay expresses low empathy and low distress levels. The top emotions expressed in the essay are: negative.'	An essay written by a 38 years old female, postgradute or with a professional degree, with an income of 42000$.The essay expresses low empathy and low distress levels. The top emotions expressed in the essay are: negative.
2	35	It breaks my heart to see people living in those conditions. I hope that all the aid that was sent to the island makes it to the people who need it the most. I do not know what I would do it that was my family and I. I would hope that I would do my best, but I can see how depressing and hopeless you could feel having your whole life changed because of a storm and not knowing where your next meal is coming from.	6.833333333333333	6.625	30	1	6	3	37	40000	7.0	5.5	1.0	6.5	6.0	4.857	2.0	3.429	5.0	1	train	1591	Hope/Sadness	87	0.0967741935483871	0.03225806451612903	0.0967741935483871	0.16129032258064516	0.0967741935483871	0.16129032258064516	0.12903225806451613	0.06451612903225806	0.03225806451612903	0.12903225806451613	0.14285714285714285	3.148161767073312	2.9142748921796895	It breaks my heart to see people living in those conditions. I hope that all the aid that was sent to the island makes it to the people who need it the most. I do not know what I would do it that was my family and I. I would hope that I would do my best, but I can see how depressing and hopeless you could feel having your whole life changed because of a storm and not knowing where your next meal is coming from.'An essay written by a 37 years old female, postgradute or with a professional degree, with an income of 40000$.The essay expresses high empathy and high distress levels. The top emotions expressed in the essay are: positive.'	An essay written by a 37 years old female, postgradute or with a professional degree, with an income of 40000$.The essay expresses high empathy and high distress levels. The top emotions expressed in the essay are: positive.
193	313	It's so sad the turning event of Immigrants status on their affairs and protection. After reading an article on the latest happening in Germany. the well known home for immigrants now going tough I feel remorse and deep pain for those who really need Sanctuaries which Germany was well known to offer before. Hopefully things will turn around	6.333333333333333	6.125	36	1	7	1	46	150000	3.5	4.0	4.0	5.0	3.0	3.286	3.857	3.0	2.857	2	train	1583	Hope/Sadness	58	0.2	0.12	0.0	0.04	0.0	0.08	0.24	0.2	0.12	0.0	0.0	2.794930876467427	2.717463660483334	It's so sad the turning event of Immigrants status on their affairs and protection. After reading an article on the latest happening in Germany. the well known home for immigrants now going tough I feel remorse and deep pain for those who really need Sanctuaries which Germany was well known to offer before. Hopefully things will turn around'An essay written by a 46 years old female, postgradute or with a professional degree, with an income of 150000$.The essay expresses high empathy and high distress levels. The top emotions expressed in the essay are: positive, negative, sadness.'	An essay written by a 46 years old female, postgradute or with a professional degree, with an income of 150000$.The essay expresses high empathy and high distress levels. The top emotions expressed in the essay are: positive, negative, sadness.
304	347	One of the biggest fears of a parent, is that they die and can not protect their children especially when they are young, like the children in the article.  The mother has a lot of faith in her child to leave her by herself at the age of 12. It is a sad reminder that some people do not get a childhood and life is very hard. I hope they all get the food that they need.	6.666666666666667	6.375	30	1	6	3	37	40000	7.0	5.5	1.0	6.5	6.0	4.857	2.0	3.429	5.0	2	train	1586	Hope/Sadness	77														One of the biggest fears of a parent, is that they die and can not protect their children especially when they are young, like the children in the article.  The mother has a lot of faith in her child to leave her by herself at the age of 12. It is a sad reminder that some people do not get a childhood and life is very hard. I hope they all get the food that they need.'An essay written by a 37 years old female, postgradute or with a professional degree, with an income of 40000$.The essay expresses high empathy and high distress levels. The top emotions expressed in the essay are: positive.'	An essay written by a 37 years old female, postgradute or with a professional degree, with an income of 40000$.The essay expresses high empathy and high distress levels. The top emotions expressed in the essay are: positive.
24	281	I just read a really interesting but depressing article. It was about a woman who lived in the UK. She was the founding editor of Elle magazine. She was only thirty when the magazine started which is crazy to me. Imagine being thirty and running a whole magazine. She suffered from depression all of her life and even wrote a book about it. She was admitted into a mental hospital because she was struggling with her depression. The mental hospoital cleared her and let her go. Soon after she walked into the ocean and drowned. It is so sad that she did not get the help she needed. I hope all of our friends know that we are here for them and support them no matter whatthey are going through. 	6.0	2.125	20	1	3	1	33	58000	6.5	5.5	5.0	6.5	6.5	3.714	2.286	3.286	4.571	1	train	1594	Hope/Sadness	130	0.0625	0.125	0.0625	0.0625	0.0625	0.1875	0.125	0.0625	0.0625	0.1875	0.125	3.0114952218845983	3.0014407476884957	I just read a really interesting but depressing article. It was about a woman who lived in the UK. She was the founding editor of Elle magazine. She was only thirty when the magazine started which is crazy to me. Imagine being thirty and running a whole magazine. She suffered from depression all of her life and even wrote a book about it. She was admitted into a mental hospital because she was struggling with her depression. The mental hospoital cleared her and let her go. Soon after she walked into the ocean and drowned. It is so sad that she did not get the help she needed. I hope all of our friends know that we are here for them and support them no matter whatthey are going through. 'An essay written by a 33 years old female, postgradute or with a professional degree, with an income of 58000$.The essay expresses high empathy and low distress levels. The top emotions expressed in the essay are: sadness.'	An essay written by a 33 years old female, postgradute or with a professional degree, with an income of 58000$.The essay expresses high empathy and low distress levels. The top emotions expressed in the essay are: sadness.
437	308	This article really brings you back down to earth. It shows everything in science is not correct and there is still much for us to learn. It is scary that these animals were never known to carry this disease and now they do and I wonder if somewhere someone mutated there genes and now there are many out there spreading the disease. It is so sad these little guys much be in so much pain at the end and theres nothing they can do to alleviate it. I hope somehow they do more research to find some way to stop the spread of it before the whole species goes extinct. I feel grateful this conservationist is the one who noticed and gained more attention for the cause as other people came forward witht the same concerns.	5.0	5.0	53	2	3	1	27	25000	6.0	6.0	6.0	6.0	6.0	4.0	2.286	3.571	3.714	2	train	1593	Hope/Sadness	136														This article really brings you back down to earth. It shows everything in science is not correct and there is still much for us to learn. It is scary that these animals were never known to carry this disease and now they do and I wonder if somewhere someone mutated there genes and now there are many out there spreading the disease. It is so sad these little guys much be in so much pain at the end and theres nothing they can do to alleviate it. I hope somehow they do more research to find some way to stop the spread of it before the whole species goes extinct. I feel grateful this conservationist is the one who noticed and gained more attention for the cause as other people came forward witht the same concerns.'An essay written by a 27 years old female, postgradute or with a professional degree, with an income of 25000$.The essay expresses high empathy and high distress levels. The top emotions expressed in the essay are: positive.'	An essay written by a 27 years old female, postgradute or with a professional degree, with an income of 25000$.The essay expresses high empathy and high distress levels. The top emotions expressed in the essay are: positive.
340	223	I feel bad for the mother and her two daughters that died in the accident. I'm a person that worries and being in a trailer would have me worrying. It is very sad that their life were cut short because they wanted to enjoy sometime together and go for a ride on Halloween.  I hope that the other people involved in the crash find peace.	6.5	2.875	30	1	6	3	37	40000	7.0	5.5	1.0	6.5	6.0	4.857	2.0	3.429	5.0	2	train	1584	Hope/Sadness	65														I feel bad for the mother and her two daughters that died in the accident. I'm a person that worries and being in a trailer would have me worrying. It is very sad that their life were cut short because they wanted to enjoy sometime together and go for a ride on Halloween.  I hope that the other people involved in the crash find peace.'An essay written by a 37 years old female, postgradute or with a professional degree, with an income of 40000$.The essay expresses high empathy and low distress levels. The top emotions expressed in the essay are: negative, sadness, anticipation.'	An essay written by a 37 years old female, postgradute or with a professional degree, with an income of 40000$.The essay expresses high empathy and low distress levels. The top emotions expressed in the essay are: negative, sadness, anticipation.
308	48	This is a very heartbreaking article. It's hard to read what is happening to people in other parts of the world. I can't believe people would leave their parents and elderly family members behind in a war. It's unimaginable. And to make matters worse, there is hardly any food for them in their homes. They're under constant attack and can't even get basic medications that we take for granted every day here in the US. I truly hope the wars stop and these people can get some assistance rebuilding their lives and homes. More effort needs to go into donating to the charities that help in these areas. I can understand why some would not want to travel and live there, considering there is a high probability of death from an airstrike but the people should at least have basic food items, clothing 	3.5	5.5	38	2	6	1	35	148000	6.5	2.5	1.0	4.5	4.0	4.571	2.0	1.857	4.0	1	train	1590	Hope/Sadness	143	0.14285714285714285	0.14285714285714285	0.09523809523809523	0.09523809523809523	0.09523809523809523	0.09523809523809523	0.09523809523809523	0.09523809523809523	0.047619047619047616	0.09523809523809523	0.18181818181818182	2.867997509295688	2.8142787108223786	This is a very heartbreaking article. It's hard to read what is happening to people in other parts of the world. I can't believe people would leave their parents and elderly family members behind in a war. It's unimaginable. And to make matters worse, there is hardly any food for them in their homes. They're under constant attack and can't even get basic medications that we take for granted every day here in the US. I truly hope the wars stop and these people can get some assistance rebuilding their lives and homes. More effort needs to go into donating to the charities that help in these areas. I can understand why some would not want to travel and live there, considering there is a high probability of death from an airstrike but the people should at least have basic food items, clothing 'An essay written by a 35 years old female, postgradute or with a professional degree, with an income of 148000$.The essay expresses medium empathy and high distress levels. The top emotions expressed in the essay are: positive.'	An essay written by a 35 years old female, postgradute or with a professional degree, with an income of 148000$.The essay expresses medium empathy and high distress levels. The top emotions expressed in the essay are: positive.
443	7	Living in a war tore country must be horrible. I feel the pain of all the lost. Having air strikes hit your home has to be horrible and seeing love ones buried under what is left from your home is also horrible. I do not wish this on anybody. I hope that the country can find peace and the people can return to a normal life.	6.666666666666667	6.5	30	1	6	3	37	40000	7.0	5.5	1.0	6.5	6.0	4.857	2.0	3.429	5.0	2	train	2275	Hope/Sadness	66														Living in a war tore country must be horrible. I feel the pain of all the lost. Having air strikes hit your home has to be horrible and seeing love ones buried under what is left from your home is also horrible. I do not wish this on anybody. I hope that the country can find peace and the people can return to a normal life.'An essay written by a 37 years old female, postgradute or with a professional degree, with an income of 40000$.The essay expresses high empathy and high distress levels. The top emotions expressed in the essay are: negative.'	An essay written by a 37 years old female, postgradute or with a professional degree, with an income of 40000$.The essay expresses high empathy and high distress levels. The top emotions expressed in the essay are: negative.
