empathy	distress	essay	emotion	gender	education	race	age	income	personality_conscientiousness	personality_openess	personality_extraversion	personality_agreeableness	personality_stability	iri_perspective_taking	iri_personal_distress	iri_fantasy	iri_empathatic_concern	fear	sadness	disgust	surprise	anger	neutral	hope	joy	essay_word_count	essay_id	fear_count	anger_count	anticipation_count	trust_count	surprise_count	positive_count	negative_count	sadness_count	disgust_count	joy_count	hope_count	empathy_count	distress_count	empathy_level	distress_level	prompt_bio	prompt_emp	prompt_emo	conversation_id	article_id	speaker_id	speaker_number	split	prompt	emotion_dataset
5.832999999999999	6.625	This is disgusting. As many of you know, I am an animal lover. There is not much that makes me sad, upset and angry like any instance of an animal suffering. What this man did is unforgivable. I hope he has a mental illness. I cannot think of any other reason why someone would do something so cruel.	disgust	2.0	6.0	1.0	32.0	70000.0	4.0	4.0	4.0	5.5	5.5	3.143	2.857	3.714	3.714	0	0	1	0	0	0	0	0	58	127	0.125	0.125	0.0625	0.0625	0.03125	0.09375	0.1875	0.125	0.125	0.0625	0.125	2.8301086201111736	2.970777797834731	medium	high	An essay written by a 32.0 years old white female, with a four year bachelor's degree, with an income of 70000.0$.	The essay expresses medium empathy and high distress levels.	 The top emotions expressed in the essay are: anger, sadness, disgust, hope.							1
4.0	1.0	Remember that story that I told you about my neighbor Paul from my old neighborhood and how he had served in IRAQ and had come home and had PTSD?  I found this article that explains it pretty good and think you might be interested in reading it to deal with the new coworker that you have that has similar issues.	neutral	1.0	4.0	1.0	44.0	35000.0	7.0	7.0	7.0	7.0	7.0	5.0	1.429	4.0	4.857	0	0	0	0	0	1	0	0	60	119	0.0	0.0	0.2	0.2	0.08	0.28	0.0	0.04	0.04	0.16	0.25	2.97358218038288	2.681495997391377	medium	low	An essay written by a 44.0 years old white male, went to college, with an income of 35000.0$.	The essay expresses medium empathy and low distress levels.	 The top emotions expressed in the essay are: hope.							0
4.833	2.875	I think the article is a bit hard to read. It is about the environment and El Nino and how they interact. The article was also about pollution and how the environment is changed by certain chemicals in the air. Because it's a science based article, it's a little hard to understand what the conclusion is.	neutral	2.0	6.0	1.0	45.0	19000.0	4.0	4.5	5.0	6.0	5.5	2.4290000000000003	2.4290000000000003	3.143	3.571	0	0	0	0	0	1	0	0	56	230	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.5	0.0	0.0	2.8789916449068955	2.529434882479946	medium	low	An essay written by a 45.0 years old white female, with a four year bachelor's degree, with an income of 19000.0$.	The essay expresses medium empathy and low distress levels.	 The top emotions expressed in the essay are: disgust.							0
5.332999999999999	6.125	This is a completely unacceptable situation. Our military bombs a Doctors Without Borders medical facility and they have the gall to point their fingers at those who were bombed. And the only restitution they offer is a promise to keep bombing and carrying on just like they were until the mission is completed. Revolting.	anger	1.0	6.0	1.0	35.0	31500.0	4.5	4.0	1.5	3.0	2.0	2.143	3.429	3.143	2.4290000000000003	0	0	0	0	1	0	0	0	54	337	0.1052631578947368	0.1052631578947368	0.0526315789473684	0.1052631578947368	0.0	0.2631578947368421	0.1578947368421052	0.0526315789473684	0.1052631578947368	0.0526315789473684	0.0	2.899621194900724	2.8647934360427807	medium	medium	An essay written by a 35.0 years old white male, with a four year bachelor's degree, with an income of 31500.0$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay are: anger, disgust.							0
5.5	6.0	Tensing was later fired. Tensing, 26, testified he feared he was going to be killed. Prosecutors said repeatedly the evidence contradicted Tensing’s story. Judge Megan Shanahan said Saturday that the jury of 10 whites and two blacks spent more two hours deliberating Saturday morning after getting a night’s sleep and still could not reach a decision. “It’s obvious to me you have made a sincere and conscientious effort,” the judge said before setting a new hearing date for Nov. 28 to determine whether the case will re-tried. County prosecutor Joe Deters said he’ll decide within the next two weeks whether to try the case again. Attorney Al Gerhardstein, who represents the DuBose family, said they want another trial and can’t understand why the jury couldn’t reach a conclusion. “With the video	neutral	1.0	6.0	3.0	30.0	30000.0	4.5	3.5	3.5	3.5	4.5	3.143	3.571	3.714	3.857	0	0	0	0	0	1	0	0	131	177	0.1666666666666666	0.0	0.0	0.2777777777777778	0.0	0.2222222222222222	0.2222222222222222	0.1111111111111111	0.0	0.0	0.0	2.8319663967427458	2.859068827652776	low	medium	An essay written by a 30.0 years old black or african american male, with a four year bachelor's degree, with an income of 30000.0$.	The essay expresses low empathy and medium distress levels.	 The top emotions expressed in the essay are: fear.							0
2.333	6.375	How could someone treat such an intelligent creature so horribly. You'd think by now people would figure out that we don't have any superior right to health and happiness over other animals on Earth. You'd think people would be too ashamed of the CHANCE of getting caught acting like this to actually have the audacity to treat another living creature so despicably.	sadness	1.0	6.0	1.0	23.0	44000.0	7.0	7.0	7.0	7.0	7.0	5.0	2.4290000000000003	4.714	5.0	0	1	0	0	0	0	0	0	62	146	0.1081081081081081	0.054054054054054	0.081081081081081	0.081081081081081	0.054054054054054	0.1351351351351351	0.1891891891891892	0.081081081081081	0.1351351351351351	0.081081081081081	0.2	2.5859617436879563	2.725334755349608	low	medium	An essay written by a 23.0 years old white male, with a four year bachelor's degree, with an income of 44000.0$.	The essay expresses low empathy and medium distress levels.	 The top emotions expressed in the essay are: hope.							0
1.0	1.625	After reading the article, i couldn't help but feel really disturbed. It's so disturbing that someone can do that to their own child. The fact that you are doing this to a child is already bad enough but to do it to your own child is downright disgusting. These people deserve the life sentence in my opinion. If you are able to do something like this, who knows what else you are capable of.	disgust	1.0	6.0	1.0	29.0	85000.0	6.75	6.75	6.75	6.75	7.0	4.643	2.0715	4.143	4.643	0	0	1	0	0	0	0	0	74	2121	0.088235294117647	0.1470588235294117	0.1470588235294117	0.088235294117647	0.0	0.1470588235294117	0.1176470588235294	0.088235294117647	0.088235294117647	0.088235294117647	0.0833333333333333	2.881039862869936	2.8949329642802746	medium	medium	An essay written by a 29.0 years old white male, with a four year bachelor's degree, with an income of 85000.0$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay are: anger.							1
1.0	6.625	The human rights groups are right. It is brutal. I'm glad we don't punish people like that in our country, but I also feel like this guy in question deserves it. The problem is that punishments like that end up being applied to people who don't deserve it too. In this particular case, I don't feel bad for the guy at all. He's a monster.	disgust	2.0	6.0	1.0	26.0	13000.0	6.0	7.0	2.0	6.0	5.5	3.714	2.571	4.571000000000001	4.571000000000001	0	0	1	0	0	0	0	0	65	765	0.2307692307692307	0.1153846153846153	0.0769230769230769	0.0384615384615384	0.0	0.1153846153846153	0.2307692307692307	0.1153846153846153	0.0384615384615384	0.0384615384615384	0.1428571428571428	2.489492876898367	2.492293116532622	low	low	An essay written by a 26.0 years old white female, with a four year bachelor's degree, with an income of 13000.0$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay are: fear.							1
1.0	1.0	They should really figure out if these earthquakes are due to fracking wastewater, and if so stop the practice. Politicians aren’t concerned about the plight of the ordinary people though. Fracking companies have lobbyists and money, while the victims of the earthquakes have neither. Ultimately nothing will get addressed unless something catastrophic happens.	anger	1.0	6.0	1.0	35.0	70000.0	7.0	7.0	4.0	1.5	7.0	4.857	1.0	1.714	1.0	0	0	0	0	1	0	0	0	53	253	0.1428571428571428	0.0714285714285714	0.1428571428571428	0.0714285714285714	0.0714285714285714	0.1428571428571428	0.0714285714285714	0.1428571428571428	0.0714285714285714	0.0714285714285714	0.0	2.81688991112668	2.6748716388898237	low	low	An essay written by a 35.0 years old white male, with a four year bachelor's degree, with an income of 70000.0$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay are: sadness.							0
1.0	1.0	This article about a firecracker going off during a protest is about the stupidest thing I have seen in a while. The journalists are pond scum trying desperately to write anything they can to divide people up. College kids can't bear a firecracker going off, they need to institute mandatory military service like Israel does, then maybe they would not be scared chickens crying about everything.	fear	1.0	5.0	1.0	41.0	68500.0	6.5	3.5	2.5	5.5	6.0	4.143	2.571	3.857	3.571	1	0	0	0	0	0	0	0	66	356	0.25	0.125	0.0	0.125	0.0	0.0	0.25	0.125	0.125	0.0	0.0	2.663602280383617	2.673045747264033	low	low	An essay written by a 41.0 years old white male, with a two year associate degree, with an income of 68500.0$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay are: fear.							0
