message_id	response_id	article_id	empathy	distress	empathy_bin	distress_bin	essay	emotion	gender	education	race	age	income	personality_conscientiousness	personality_openess	personality_extraversion	personality_agreeableness	personality_stability	iri_perspective_taking	iri_personal_distress	iri_fantasy	iri_empathatic_concern	conversation_id	speaker_id	speaker_number	split	essay_id
		375	3.1666666666666665	1.0			It is difficult to convey my thoughts and feelings regarding the article as it was not very detailed. It is alarming that polar bears are facing threats to their habitats. I think conservation efforts as a whole should be increased worldwide. Human beings are causing irreparable harm to the ecosystems of this planet and it has to stop. 	Neutral	1	6	3	33	64000	6.5	7.0	3.5	4.5	7.0	3.714	1.0	2.429	1.429	163.0	35.0	2.0	train	662.0
		3	2.5	3.25			Hello friend. It's with a heavy heart that I'm typing this. The story of what happened to those people is really pathetic and saddening. I feel really terrible about the event. Accidents of such nature are highly predictable and can be easily avoided but because of negligence and greed, operators won't properly maintain their machines. It's just sad	Sadness	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	74.0	31.0	1.0	train	73.0
R_2qxSe9C1FHoZe8D_4	R_2qxSe9C1FHoZe8D	335	2.333	1.0	0.0	0.0	Apparently the giant albatross is being destroyed by giant mice that have overrun one of their main breeding islands. I don't exactly understand how, but the parents haven't learned that the mice are a threat and just sit there and watch them eat the babies. Seeing as how they are meat eaters you'd think the mice would provide an easy snack.	surprise	2	6	1	34	39000	6.5	6.0	7.0	6.5	7.0	4.0	3.286	4.2860000000000005	4.857					
		48	6.0	5.0			This article was just heartbreaking. I just pictured my father working his whole life for us just for a warm and horrible people to come in and tear it down. It is pure hell for everyone living in this war torn area I cant imagine. No older people who worked there life so there familys can be better should be worried about war and losing the family. The doctors have even fled as there is no resources to help people anymore. Only once dialysis center left which will probably close soon for fear of people and lack of resources. Anyone with a chronic disease is just out of luck as medicine is few and aid cant even be reached to most of these people anymore. It is just so sad.	Sadness	2	3	1	27	25000	6.0	6.0	6.0	6.0	6.0	4.0	2.286	3.571	3.714	307.0	53.0	1.0	train	306.0
		34	4.833333333333333	5.5			"I think that placing blame does little to help in situation like those in the middle east. It seems like everyone is doing their best and those that are at odds keep any positive progress from being made. What are people to do? We hurrah and protract these horrible situations in the middle east and when people are finally forced to pick up and leave we say, ""Sorry, we can't help you."""	Anger/Disgust	1	4	1	29	39000	6.0	6.5	1.0	6.0	5.5	5.0	2.286	3.286	4.143	262.0	25.0	2.0	train	761.0
		305	2.6666666666666665	1.0			I found the number of adolescent deaths in Russia alarming, but not surprising. Young adult suicide rates here in the US have also been increasing since 2004. The fact that the suicides in Russia have been directly linked to social media is very telling. The rise of adolescent suicide here in the US directly parallels the rise of social media.	Neutral	1	6	3	33	64000	6.5	7.0	3.5	4.5	7.0	3.714	1.0	2.429	1.429	183.0	35.0	2.0	train	682.0
		139	2.0	2.0			I just read an article about ranavirus that affects amphibians in the United Kingdom. Apparently, human made garden ponds are contributing to the spread of this virus, but the article seemed wishy washy about how to best deal with the problem. It mentioned that one should not refrain from building garden ponds, but instead refrain from transferring material from said ponds? The whole article kind of missed the mark, I think.	Neutral	1	4	1	29	39000	6.0	6.5	1.0	6.0	5.5	5.0	2.286	3.286	4.143	228.0	25.0	2.0	train	727.0
		397	6.0	6.0			this is so horribloe because anything that effects animals hurts me to the core. They are innocent victims and cant really help themselves in this situation. I think alot needs to be done to make sure the river is restored and blockage is taken away so that this does not happen in the future. These fish cant move debris themsleves and i thin more light needs to shine down on what is happening so maybe a council can come together and monitor or take over and make sure the fish are in a thriving enviroment. I thin if an enviromental emergency is declared and especially in a poor country other countries should step in and lend a helping hand to lesson the suffering to innocent life.	Sadness	2	3	1	27	25000	6.0	6.0	6.0	6.0	6.0	4.0	2.286	3.571	3.714	427.0	53.0	1.0	train	426.0
R_1rfDsNtkx9ueNuH_1	R_1rfDsNtkx9ueNuH	31	4.667	4.25	1.0	1.0	Hey man did you hear about this Palm Oil Company is trying to threaten to take down the worlds third largest Orangutan populations? This is pretty upsetting for me as I am in love with these animals. They are wanting to cut down most of the forest. This place is in Indonesia and this company is also planning on building a drainage canal from the north to the south side of the area for which some work has already reportedly began. I really wished there was a way we can help and protect this land. You would have thought that this would be an important area that needed protected. I mean there are what about any where from 750 to 1750 orangutan..They're classified as endangered now.	sadness	2	2	1	39	74500	3.5	7.0	6.5	7.0	4.5	3.714	3.143	3.714	4.428999999999999					
R_2aOFGSQ3Y7fEc0P_4	R_2aOFGSQ3Y7fEc0P	263	4.5	4.0	1.0	1.0	We are only given one life. I think that everyone wants to live a long and fruitful life. I know that sometimes we all have to do things that we do not want to do. There are certain procedures or policies that we need to follow to be able to maintain a certain life, and lifestyle. I know I don't really enjoy going to the doctor.	neutral	1	6	1	40	125000	6.5	6.0	6.5	7.0	7.0	3.857	1.429	2.4290000000000003	3.143					
