empathy	distress	essay	emotion	gender	education	race	age	income	personality_conscientiousness	personality_openess	personality_extraversion	personality_agreeableness	personality_stability	iri_perspective_taking	iri_personal_distress	iri_fantasy	iri_empathatic_concern	fear	sadness	disgust	surprise	anger	neutral	hope	joy	essay_word_count	essay_id	fear_count	anger_count	anticipation_count	trust_count	surprise_count	positive_count	negative_count	sadness_count	disgust_count	joy_count	hope_count	empathy_count	distress_count	prompt_bio	prompt_emp	prompt_emo	conversation_id	article_id	speaker_id	speaker_number	split	prompt	emotion_dataset
2.167	1.875	hopefully you did not go through much reading this particular messade unfortuanetly this happens everyday and people throw vbnlind eyes tro the situation because no one wants to deal with this kind ofstuff but i am presenting this tuff to you so you guys can acknowldge it and be awareof it and be a little more bit educated about stuff liek this and so on	anger	1.0	6.0	2.0	29.0	50000.0	4.5	5.0	4.5	4.5	4.0	3.0	2.4290000000000003	3.0	2.857	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	65	1117	0.0	0.0	0.1	0.2	0.1	0.4	0.0	0.0	0.0	0.2	0.1	2.681292207787783	2.4829112483818885	An essay written by a 29.0 years old hispanic or latino male, with a four year bachelor's degree, with an income of 50000.0$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay are: positive.							1
1.833	6.25	"I really can't believe the amount of smugness from BP.  They say it won't cause a lot of problems, but there are birds that are breeding in that area.  What kind of oil was it?  How much EXACTLY was spilled?  Birds are sensitive (I own a parrot and the slightest disturbance in her environment can be harmful emotionally, which means eventually it will lead to physical problems such as plucking and starvation).  So what the hell, BP?  I hate that they act like this is ""no big deal"".  It is a big deal and companies like this are the reason we are in danger of so many different world disasters."	anger	2.0	4.0	1.0	36.0	72000.0	6.5	5.5	2.0	6.5	4.0	4.571000000000001	3.0	4.0	4.2860000000000005	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	110	1574	0.1395348837209302	0.0930232558139534	0.0465116279069767	0.0697674418604651	0.0697674418604651	0.1162790697674418	0.1627906976744186	0.1395348837209302	0.0930232558139534	0.0697674418604651	0.0476190476190476	2.567924246086143	2.469195205206431	An essay written by a 36.0 years old white female, went to college, with an income of 72000.0$.	The essay expresses low empathy and high distress levels.	 The top emotions expressed in the essay are: negative.							1
5.667000000000001	1.0	I just read an article about numerous female athletes that of taking the world by storm. I love hearing about female athletes, however it was frustrating to read an article with so many typos, miss spellings, errors and words that didn’t make sense put together. The article was clearly not proof read before being published where I read it. For such an important topic, proofreading would have been easy.	anger	2.0	4.0	1.0	34.0	30000.0	7.0	6.5	6.5	7.0	7.0	4.857	1.143	3.857	4.571000000000001	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	69	1292	0.0714285714285714	0.1428571428571428	0.0	0.1428571428571428	0.0	0.3571428571428571	0.2142857142857142	0.0	0.0	0.0714285714285714	0.0	2.966836282650915	2.656642806517876	An essay written by a 34.0 years old white female, went to college, with an income of 30000.0$.	The essay expresses high empathy and low distress levels.	 The top emotions expressed in the essay are: positive.							1
1.0	6.25	More gun crap. I am so sick of people thinking shooting someone is the guns fault. It is not the gun it is something wrong inside the person who is doing the shooting. You can't expect the gun to be blamed when it is someone who is just pissed off or mental ill. If you asked me it is all about not getting your way and being mad so the answer is shoot a bunch of people. That means they are sick in the head. I can just see it now more get rid of the gun solve the problem no we need to fix what is wrong with people. Damn lawyers blood suckers most of them anyway taking advantage of people in their worst moments. I just hope we finally wake up to the fact that the gun didn't do it it was the person holding the gun. They could just as easily kill using their car or a knife	anger	2.0	2.0	1.0	64.0	35000.0	6.0	7.0	7.0	6.5	7.0	4.143	1.0	2.286	4.857	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	161	1437	0.1805555555555555	0.1527777777777778	0.0416666666666666	0.0555555555555555	0.0416666666666666	0.0555555555555555	0.2638888888888889	0.0972222222222222	0.0833333333333333	0.0277777777777777	0.0526315789473684	2.722580795501649	2.8464737001338443	An essay written by a 64.0 years old white female, with a high school diploma, with an income of 35000.0$.	The essay expresses low empathy and high distress levels.	 The top emotions expressed in the essay are: negative.							1
2.0	3.875	Oh, but global warming isn't real, right? We have all kinds of time to fix the problem, right? It's not humans, it's natural variation, right? Holy crap are we ever ostriches as a species - are we going to dig our heads out of the sand in time? Change has to happen, and it has to happen now, we can't wait for all the old white men who run things to die	anger	2.0	4.0	1.0	38.0	20000.0	3.0	6.5	1.0	6.0	1.5	4.428999999999999	4.0	4.857	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	72	46	0.1	0.0	0.3	0.1	0.0	0.1	0.2	0.1	0.05	0.05	0.0	2.550633096872382	2.51262371503222	An essay written by a 38.0 years old white female, went to college, with an income of 20000.0$.	The essay expresses low empathy and medium distress levels.	 The top emotions expressed in the essay are: anticipation.							1
1.0	1.25	This story specifically doesn't make me feel anything, since I don't know these people and I feel like if I tried to have emotions for every victim of a crime I read about that would just require too much mental effort. In a broader sense however, I feel frustrated and tired of having to deal with men committing acts of violence against women constantly simply because they can, especially in cases like this where there didn't seem to be much prior warning. It's irritating because it is such an awful trend, so it makes me feel sort of disgusted with the state of the world in that way.	anger	2.0	6.0	1.0	29.0	62000.0	7.0	4.0	1.0	2.0	4.5	2.571	1.143	2.143	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	108	284	0.1290322580645161	0.1935483870967742	0.032258064516129	0.064516129032258	0.032258064516129	0.1290322580645161	0.2258064516129032	0.0967741935483871	0.064516129032258	0.032258064516129	0.0416666666666666	2.727391499030461	2.731973273702512	An essay written by a 29.0 years old white female, with a four year bachelor's degree, with an income of 62000.0$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay are: negative.							1
1.0	6.25	Death to the police! There is no member of the police that is your friend, even those who are no longer on the force. Only someone who fully recants their position as a police officer and demonstrates tangible remorse about their actions can be accepted. All police are evil, because the police naturally attract people who would abuse their powers.	anger	2.0	4.0	1.0	25.0	4000.0	1.0	3.5	1.5	4.0	1.0	3.0	4.857	4.2860000000000005	4.2860000000000005	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	60	591	0.2162162162162162	0.081081081081081	0.0	0.2162162162162162	0.0	0.2162162162162162	0.1081081081081081	0.081081081081081	0.054054054054054	0.027027027027027	0.0	3.0417256164873376	3.14845852016169	An essay written by a 25.0 years old white female, went to college, with an income of 4000.0$.	The essay expresses low empathy and high distress levels.	 The top emotions expressed in the essay are: fear, trust, positive.							1
6.0	5.375	Reading this article on contaminated water is mind-boggling.   The work is done, reports are made, violations noted, and no one assesses any penalties.  Ludicrous!   Why do any of the work if nothing is done with the findings.  What other profession allows this!   Our government is ridiculous.   We need more Erin Brockovich's in this world to fine these folks millions and millions of dollars in fine.  I worry about our children.	anger	2.0	6.0	1.0	62.0	29000.0	6.5	2.5	1.0	6.5	2.0	3.571	4.0	2.143	4.429	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	70	1635	0.2	0.0666666666666666	0.0666666666666666	0.0	0.0	0.1333333333333333	0.2666666666666666	0.1333333333333333	0.1333333333333333	0.0	0.0	2.5145245428086933	2.5070727139764464	An essay written by a 62.0 years old white female, with a four year bachelor's degree, with an income of 29000.0$.	The essay expresses high empathy and high distress levels.	 The top emotions expressed in the essay are: negative.							1
4.0	2.0	It does seem silly that people in committed relationships are still affected by the donating ban, but I can also understand why such a ban was put in place. The trouble with anything is that when you try to protect some people, others rights seem to always be infringed and we're forced to decide which offense is greater and more important. I don't see why someone can't be tested, found to be clean and then give blood but I can understand why especially in an emergency when things can easily get overlooked the ban is a good idea.	joy	2.0	6.0	1.0	45.0	30000.0	4.5	5.5	2.5	5.5	5.5	3.571	2.143	4.143	4.428999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	98	76	0.0909090909090909	0.0303030303030303	0.0303030303030303	0.1515151515151515	0.0606060606060606	0.2121212121212121	0.2121212121212121	0.0606060606060606	0.0303030303030303	0.1212121212121212	0.0588235294117647	2.829397776583753	2.673230573811172	An essay written by a 45.0 years old white female, with a four year bachelor's degree, with an income of 30000.0$.	The essay expresses medium empathy and low distress levels.	 The top emotions expressed in the essay are: positive, negative.							0
6.5	5.5	In this day and age, there should not be such a thing as airline discrimination. The only way someone should be stopped or removed from their flights is if they displayed violent behavior or if they were trying to board with weapons. It is not acceptable at all for someone to be barred from their flight due to the color of their skin or their religious or ethnic background. Those who have been discriminated against for these reasons are suffering undue embarrassment and inconvenience. They should be compensated for this unfair treatment and the airlines should be fined heavily.	anger	2.0	5.0	1.0	52.0	51000.0	7.0	5.5	2.0	7.0	5.5	4.0	3.286	3.429	5.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	99	1545	0.1538461538461538	0.1153846153846153	0.0384615384615384	0.0	0.0769230769230769	0.0384615384615384	0.2692307692307692	0.1538461538461538	0.1538461538461538	0.0	0.0	2.930272373926084	2.893700873208173	An essay written by a 52.0 years old white female, with a two year associate degree, with an income of 51000.0$.	The essay expresses high empathy and high distress levels.	 The top emotions expressed in the essay are: negative.							1
