empathy	distress	essay	emotion	gender	education	race	age	income	personality_conscientiousness	personality_openess	personality_extraversion	personality_agreeableness	personality_stability	iri_perspective_taking	iri_personal_distress	iri_fantasy	iri_empathatic_concern	fear	sadness	disgust	surprise	anger	neutral	hope	joy	essay_word_count	essay_id	fear_count	anger_count	anticipation_count	trust_count	surprise_count	positive_count	negative_count	sadness_count	disgust_count	joy_count	hope_count	empathy_count	distress_count	prompt_bio	prompt_emp	prompt_emo	conversation_id	article_id	speaker_id	speaker_number	split	prompt	emotion_dataset
1.0	3.125	You know with all of the issues recently within the country i had not even though about how bad it must been for Muslims living in america. When there is such a culture of racism and rudeness and hate being spewed left and right they are bound to be feeling it terribly. The fact that the number is rising this high is incredibly alarming and that people are only seeing race is awful.	disgust	1.0	4.0	2.0	23.0	70000.0	4.0	5.5	6.5	3.5	5.0	2.286	2.0	3.0	4.429									73	2408	0.1428571428571428	0.1142857142857142	0.0571428571428571	0.0571428571428571	0.0571428571428571	0.0857142857142857	0.1714285714285714	0.1428571428571428	0.1142857142857142	0.0571428571428571	0.0666666666666666	2.8597555106269392	2.8322441485744507	An essay written by a 23 years old hispanic or latino male, went to college, with an income of 70000$.	The essay expresses low empathy and medium distress levels.	 The top emotions expressed in the essay are: negative.	273.0	146.0	23.0	2.0	train	"You know with all of the issues recently within the country i had not even though about how bad it must been for Muslims living in america. When there is such a culture of racism and rudeness and hate being spewed left and right they are bound to be feeling it terribly. The fact that the number is rising this high is incredibly alarming and that people are only seeing race is awful.""An essay written by a 23 years old hispanic or latino male, with some college but no degree, with an income of 70000$. The essay expresses low empathy and medium distress level. Top emotions expressed by the writer are: negative."""	1
6.0	6.0	I feel for both sides on this one. The police and people are trying to protect the sacred wild life and beings but also the village is probably needing the meat of the animal or the money from selling it as they are a very poor country. I can see being so desperate in a third world country that this would seem like the police are cutting off or taking your only source of livlihood. These poor guys however they are just trying to protect and do what is right they do not deserve to be so violently attacked im suprised they were able to live through such a brutal beating. I hope more is done to help the police but also the village 	hope	2.0	3.0	1.0	27.0	25000.0	6.0	6.0	6.0	6.0	6.0	4.0	2.286	3.571	3.714	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	124	2092	0.1521739130434782	0.1304347826086956	0.0652173913043478	0.1304347826086956	0.0652173913043478	0.1739130434782608	0.1304347826086956	0.0652173913043478	0.0434782608695652	0.0434782608695652	0.0833333333333333	3.128188267675841	3.0150663434440195	An essay written by a 27.0 years old white female, went to a technical/vocational school, with an income of 25000.0$.	The essay expresses high empathy and high distress levels.	 The top emotions expressed in the essay are: positive.							0
1.0	7.0	I really hate ISIS. They continue to be the stain on society by committing atrocities condemned by every nation in the world. They must be stopped at all costs and they must be destroyed so that they wont hurt another soul. These poor people who are trying to survive get killed, imprisoned, or brainwashed into joining and there seems to be no way to stop them.	anger	1.0	5.0	5.0	27.0	100000.0	7.0	7.0	7.0	7.0	7.0	5.0	1.571	4.428999999999999	5.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	66	112	0.1538461538461538	0.1538461538461538	0.0769230769230769	0.0769230769230769	0.0	0.0769230769230769	0.1923076923076923	0.1538461538461538	0.1153846153846153	0.0	0.0	3.0074406162365297	3.286080242477988	An essay written by a 27.0 years old asian/pacific islander male, with a two year associate degree, with an income of 100000.0$.	The essay expresses low empathy and high distress levels.	 The top emotions expressed in the essay are: negative.							0
6.0	6.875	This is a topic that never seems to get any better for women.   Pay inequality has dropped to 45 for the United States.  This is an embarrassing statistic.   Fewer women are in the workforce and fewer women hold prestigious jobs.   The misuse of women's education and value is so disheartening.  US Stem Skills professions are not in a good place. Scandinavian countries hold the top 4 spots.  The disparity in salaries is what it was in 2008.  	disgust	2.0	6.0	1.0	62.0	29000.0	6.5	2.5	1.0	6.5	2.0	3.571	4.0	2.143	4.429	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	77	2131	0.05	0.1	0.1	0.1	0.05	0.1	0.25	0.15	0.05	0.05	0.2	2.4487617105066164	2.3819408644807303	An essay written by a 62.0 years old white female, with a four year bachelor's degree, with an income of 29000.0$.	The essay expresses high empathy and high distress levels.	 The top emotions expressed in the essay are: negative.							1
1.6669999999999998	4.25	This is horrifying. You're just going about your business, then someone takes issue with you, and suddenly you're dead. Maybe you didn't even interact with them and they just decided to kill you for fun. It's deeply troubling and makes you suspicious of every stranger on the street. I also feel bad for those who had to witness this and didn't have time to do anything to stop it. I'd imagine some feel guilty even though they couldn't have helped.	fear	1.0	2.0	1.0	37.0	12000.0	5.5	1.0	1.0	2.0	1.0	3.0	5.0	5.0	3.429	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80	84	0.1538461538461538	0.1153846153846153	0.1153846153846153	0.0384615384615384	0.0384615384615384	0.0384615384615384	0.2307692307692307	0.1538461538461538	0.0769230769230769	0.0384615384615384	0.0	2.751377591480907	2.812824063894953	An essay written by a 37.0 years old white male, with a high school diploma, with an income of 12000.0$.	The essay expresses low empathy and medium distress levels.	 The top emotions expressed in the essay are: negative.							0
2.333	3.375	That's incredibly disgusting. I feel like it should count as a hate crime, and everyone on that boat who had anything to do with that incident should be brought before a judge and made to answer for their involvement. I really hope the LGBT community organizes some kind of boycott; Royal Caribbean should be made to feel financial pain for their negligence	disgust	2.0	4.0	1.0	38.0	20000.0	3.0	6.5	1.0	6.0	1.5	4.428999999999999	4.0	4.857	4.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	62	47	0.1034482758620689	0.1379310344827586	0.0344827586206896	0.1034482758620689	0.0689655172413793	0.1379310344827586	0.2068965517241379	0.0689655172413793	0.0689655172413793	0.0689655172413793	0.0714285714285714	2.93389281281619	2.856956822262997	An essay written by a 38.0 years old white female, went to college, with an income of 20000.0$.	The essay expresses low empathy and medium distress levels.	 The top emotions expressed in the essay are: negative.							1
1.6669999999999998	4.5	Hello friend, have you read this article? I think you should, it's quite interesting if I do say so myself. It is about a Representative named Darrell Issa, he is a Republican and has a Southern California seat. How great would it be, to see this massively bad man lose? Hopefully, Issa may well quote Mercutio on November 8th: “...ask for me to-morrow and you shall find me a grave man.”	disgust	2.0	5.0	1.0	24.0	35000.0	2.0	4.0	2.0	5.0	6.0	3.571	2.857	3.714	3.286	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	71	777	0.1363636363636363	0.0909090909090909	0.0454545454545454	0.0454545454545454	0.0909090909090909	0.1363636363636363	0.1818181818181818	0.1363636363636363	0.0909090909090909	0.0454545454545454	0.0	2.4954979901679266	2.3667008666865232	An essay written by a 24.0 years old white female, with a two year associate degree, with an income of 35000.0$.	The essay expresses low empathy and medium distress levels.	 The top emotions expressed in the essay are: negative.							1
1.0	7.0	Hello there. So I just read this disturbing story about a teacher who is involved in child pornography. He is now going to face courts for such a disgusting habit. I think this teacher should really be punished exemplarily so that even those who were thinking of doing it can take notice. This is totally unacceptable in our education system	disgust	1.0	7.0	3.0	30.0	145000.0	6.5	5.0	6.5	7.0	7.0	4.571000000000001	2.714	3.857	4.428999999999999	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	60	1189	0.0909090909090909	0.0909090909090909	0.0909090909090909	0.1363636363636363	0.0	0.1363636363636363	0.1818181818181818	0.0909090909090909	0.1363636363636363	0.0454545454545454	0.0	2.712014191271881	3.008813058425382	An essay written by a 30.0 years old black or african american male, postgradute or with a professional degree, with an income of 145000.0$.	The essay expresses low empathy and high distress levels.	 The top emotions expressed in the essay are: negative.							1
4.0	4.0	Rhinos are going extinct, and it s a real shame since they do nothing to harm human life. They are a majestic creature with much to offer. However, they are being killed because of poachers and their horn. The black rhino is almost extinct. Only about five thousand still exist in the world today, and this is a real shame.	disgust	1.0	6.0	1.0	31.0	65000.0	3.5	4.0	4.5	4.0	3.5	3.143	3.143	2.857	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	60	573	0.1379310344827586	0.0	0.0344827586206896	0.1034482758620689	0.0344827586206896	0.1379310344827586	0.2413793103448276	0.1724137931034483	0.1034482758620689	0.0344827586206896	0.1	3.116290687498988	2.897447570566732	An essay written by a 31.0 years old white male, with a four year bachelor's degree, with an income of 65000.0$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay are: negative.							1
3.167	3.375	just another fucked up mental sickness of american police against its black residents, I honestly have no idea why they have to be so sensitive with their fucking guns, they shoot people as if people can respawn after being shot or something, police should think twice before taking out people's lives with no legitimate reason, I guess it's good that police have body cam, so the public can see what shame they are brining upon themselves	anger	1.0	6.0	5.0	24.0	45000.0	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	76	8	0.1944444444444444	0.0555555555555555	0.0555555555555555	0.1111111111111111	0.0833333333333333	0.1666666666666666	0.1388888888888889	0.1111111111111111	0.0555555555555555	0.0277777777777777	0.0625	2.8157591074164694	2.9381262519945976	An essay written by a 24.0 years old asian/pacific islander male, with a four year bachelor's degree, with an income of 45000.0$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay are: fear.							0
