empathy	distress	essay	emotion	gender	education	race	age	income	personality_conscientiousness	personality_openess	personality_extraversion	personality_agreeableness	personality_stability	iri_perspective_taking	iri_personal_distress	iri_fantasy	iri_empathatic_concern	fear	sadness	disgust	surprise	anger	neutral	hope	joy	essay_word_count	essay_id	fear_count	anger_count	anticipation_count	trust_count	surprise_count	positive_count	negative_count	sadness_count	disgust_count	joy_count	hope_count	empathy_count	distress_count	prompt_bio	prompt_emp	prompt_emo	conversation_id	article_id	speaker_id	speaker_number	split	prompt	emotion_dataset
3.167	3.5	Felt bad reading the article because tons of people are losing basically their lives. The wild fires are destroying their farm, things, and even their animals. Without all of those things they cant have a proper living through buying and selling crops or animals. I hope we can donate to an organization nor something to help them	sadness	1.0	6.0	5.0	25.0	45000.0	4.0	5.5	3.5	5.0	6.0	3.857	3.286	2.857	3.143	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	57	28	0.074074074074074	0.1111111111111111	0.1111111111111111	0.074074074074074	0.1111111111111111	0.1481481481481481	0.1481481481481481	0.1111111111111111	0.037037037037037	0.074074074074074	0.0769230769230769	3.221980060188468	2.945100040960048	An essay written by a 25.0 years old asian/pacific islander male, with a four year bachelor's degree, with an income of 45000.0$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay are: positive, negative.							0
4.833333333333333	3.0	Dear friend,                                          I have recently just read an article about a horrible shooting in Charlotte. It was a black man who was killed by the police. This is just one of many such cases unfortunately. I think there is a problem in this country and I hope that it can be solved one day.	hope	1.0	2.0	5.0	29.0	44000.0	5.5	6.0	4.5	6.0	5.0	3.714	3.0	3.429	3.429	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	54	2091	0.1739130434782608	0.0869565217391304	0.0434782608695652	0.1304347826086956	0.0434782608695652	0.1304347826086956	0.1739130434782608	0.0869565217391304	0.0434782608695652	0.0869565217391304	0.1428571428571428	2.5372526464619	2.576793181987331	An essay written by a 29.0 years old asian/pacific islander male, with a high school diploma, with an income of 44000.0$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay are: fear, negative.							1
6.0	6.0	Awful news article. Us as a society need to do a better job of protecting and helping not only our planet, but the animals and mammals that surround it. The fact that almost 100 percent of the caimans are suspected to be dead is alarming and people should be more informed on such matters. The rate of extinction that these animals and mammals are going through on our planet is extremely alarming and I can not figure out why people aren't more concerned or even aware of the matter. We need to do a better job of protecting ALL living matter on this planet, not just ourselves.	fear	1.0	4.0	1.0	26.0	35000.0	7.0	7.0	4.0	4.0	7.0	5.0	1.143	3.571	4.714	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107	89	0.1666666666666666	0.0	0.0555555555555555	0.1666666666666666	0.1111111111111111	0.2777777777777778	0.1666666666666666	0.0555555555555555	0.0	0.0	0.0	2.854831722181132	2.85783810994379	An essay written by a 26.0 years old white male, went to college, with an income of 35000.0$.	The essay expresses high empathy and high distress levels.	 The top emotions expressed in the essay are: positive.							0
4.0	2.0	It does seem silly that people in committed relationships are still affected by the donating ban, but I can also understand why such a ban was put in place. The trouble with anything is that when you try to protect some people, others rights seem to always be infringed and we're forced to decide which offense is greater and more important. I don't see why someone can't be tested, found to be clean and then give blood but I can understand why especially in an emergency when things can easily get overlooked the ban is a good idea.	joy	2.0	6.0	1.0	45.0	30000.0	4.5	5.5	2.5	5.5	5.5	3.571	2.143	4.143	4.428999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	98	76	0.0909090909090909	0.0303030303030303	0.0303030303030303	0.1515151515151515	0.0606060606060606	0.2121212121212121	0.2121212121212121	0.0606060606060606	0.0303030303030303	0.1212121212121212	0.0588235294117647	2.829397776583753	2.673230573811172	An essay written by a 45.0 years old white female, with a four year bachelor's degree, with an income of 30000.0$.	The essay expresses medium empathy and low distress levels.	 The top emotions expressed in the essay are: positive, negative.							0
4.833333333333333	3.0	Hello there, I recently came across an article discussing a tragic incident in Charlotte involving a shooting. It involved a black man who lost his life due to police action. Regrettably, this is just one instance among numerous similar cases. It is my sincere hope that we can address the underlying issues in our country and strive for a solution in the future.	hope	1.0	2.0	5.0	29.0	44000.0	5.5	6.0	4.5	6.0	5.0	3.714	3.0	3.429	3.429	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	63	2236	0.0909090909090909	0.0454545454545454	0.0909090909090909	0.1363636363636363	0.0909090909090909	0.2272727272727272	0.1818181818181818	0.0909090909090909	0.0	0.0454545454545454	0.0625	2.918613098110568	2.808518648311064	An essay written by a 29.0 years old asian/pacific islander male, with a high school diploma, with an income of 44000.0$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay are: positive.							1
5.167000000000001	5.25	I think we need to remember a few important things, psychologists and psychiatrists have very hard times. Sometimes the people they are sent to treat are manipulative to a point they have fooled family, friends and professionals for years. We also have to acknowledge those with underlying mental health issues who may have been taken advantage of and used by criminal organizations.	neutral	2.0	5.0	1.0	31.0	92500.0	5.5	5.0	7.0	6.5	5.0	4.143	2.286	3.571	4.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	62	144	0.1176470588235294	0.1176470588235294	0.0588235294117647	0.1176470588235294	0.0588235294117647	0.1764705882352941	0.1176470588235294	0.0588235294117647	0.1176470588235294	0.0588235294117647	0.1	3.1849152647648493	3.0565856677276297	An essay written by a 31.0 years old white female, with a two year associate degree, with an income of 92500.0$.	The essay expresses high empathy and high distress levels.	 The top emotions expressed in the essay are: positive.							0
6.0	6.0	This article was troubling on so many different levels. I cant put myself in this girls shoes because I would never imagine my parents doing this to me. I cant believe they are out of jail they seem like such a threat to society if they can do this to there own child. I pray these people never come in contact with a never child again. you are suppose to protect your kids. This girl can never get her childhood back i dont see how you could trust people after this or live a normal life my mind would be so messed up. i hope she gets the help she needs.	hope	2.0	3.0	1.0	27.0	25000.0	6.0	6.0	6.0	6.0	6.0	4.0	2.286	3.571	3.714	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	111	2097	0.1071428571428571	0.0357142857142857	0.1428571428571428	0.1071428571428571	0.0714285714285714	0.25	0.0714285714285714	0.0357142857142857	0.0	0.1785714285714285	0.1	3.038533936441102	2.9969787736933937	An essay written by a 27.0 years old white female, went to a technical/vocational school, with an income of 25000.0$.	The essay expresses high empathy and high distress levels.	 The top emotions expressed in the essay are: positive.							1
4.0	1.0	Remember that story that I told you about my neighbor Paul from my old neighborhood and how he had served in IRAQ and had come home and had PTSD?  I found this article that explains it pretty good and think you might be interested in reading it to deal with the new coworker that you have that has similar issues.	neutral	1.0	4.0	1.0	44.0	35000.0	7.0	7.0	7.0	7.0	7.0	5.0	1.429	4.0	4.857	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	60	119	0.0	0.0	0.2	0.2	0.08	0.28	0.0	0.04	0.04	0.16	0.25	2.97358218038288	2.681495997391377	An essay written by a 44.0 years old white male, went to college, with an income of 35000.0$.	The essay expresses medium empathy and low distress levels.	 The top emotions expressed in the essay are: positive.							0
4.0	5.0	You know I'm not a fan of religion in any context, but this type of thing happens everywhere. There's always some idiot who goes off and uses religion, bigotry, sex, gender, anything really as an explanation. It's sad that you read something like this and it doesn't even feel like news. Perhaps its just our access that's making this seem ordinary.	sadness	1.0	5.0	1.0	28.0	62000.0	4.0	6.0	3.5	5.5	4.0	3.714	2.4290000000000003	3.286	3.286	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	61	38	0.0	0.0	0.125	0.375	0.0	0.125	0.125	0.0	0.125	0.125	0.0	2.5010054290921557	2.363562743390336	An essay written by a 28.0 years old white male, with a two year associate degree, with an income of 62000.0$.	The essay expresses medium empathy and high distress levels.	 The top emotions expressed in the essay are: trust.							0
5.0	4.25	Hearing about the violence going on over politics in the country is really sad and upsetting. It's easy to take for granted how we live and how lucky we are that we don't have to worry about people killing us on a daily basis. Our government is also democratic which means people have a voice. This isn't the case in some areas/	sadness	2.0	6.0	1.0	25.0	75000.0	7.0	7.0	4.5	6.5	6.5	4.143	2.4290000000000003	3.571	4.428999999999999	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	62	12	0.217391304347826	0.1304347826086956	0.0869565217391304	0.0	0.0434782608695652	0.0869565217391304	0.217391304347826	0.1739130434782608	0.0	0.0434782608695652	0.0	3.10114435361038	2.8504721777245967	An essay written by a 25.0 years old white female, with a four year bachelor's degree, with an income of 75000.0$.	The essay expresses high empathy and medium distress levels.	 The top emotions expressed in the essay are: fear, negative.							0
