empathy	distress	essay	emotion	gender	education	race	age	income	personality_conscientiousness	personality_openess	personality_extraversion	personality_agreeableness	personality_stability	iri_perspective_taking	iri_personal_distress	iri_fantasy	iri_empathatic_concern	fear	sadness	disgust	surprise	anger	neutral	hope	joy	essay_word_count	essay_id	fear_count	anger_count	anticipation_count	trust_count	surprise_count	positive_count	negative_count	sadness_count	disgust_count	joy_count	hope_count	empathy_count	distress_count	prompt_bio	prompt_emp	prompt_emo	conversation_id	article_id	speaker_id	speaker_number	split	prompt	emotion_dataset
2.5	5.125	Second hand smoke is a bad things and I'm glad it is banned from around children.  I do not want the government to have the power to tell people what to do with their bodies. I do not like smoking, but I think that every adult should have the right to do whatever they want with their body. I think smoking should only be banned if it harms other people.	neutral	1.0	6.0	3.0	37.0	40000.0	7.0	5.5	1.0	6.5	6.0	4.857	2.0	3.429	5.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	70	1979	0.2	0.1	0.1	0.0	0.0	0.1	0.2	0.1	0.1	0.1	0.125	2.6355314553854114	2.6151847085797937	An essay written by a 37.0 years old black or african american male, with a four year bachelor's degree, with an income of 40000.0$.	The essay expresses low empathy and high distress levels.	 The top emotions expressed in the essay are: fear, negative.							1
5.0	1.625	"Hey, remember that eighties song ""You Spin me Right Round"" that people like to laugh about? The guy responsible for that just dies recently, he seemed like he was pretty interesting. I heard that he was on the UK version of Celebrity Big Brother, but I bet that show is just as boring as the American version. It's so interesting how the celebrity culture over there compares to over here."	neutral	2.0	6.0	1.0	39.0	45000.0	6.0	5.0	5.5	5.5	6.5	4.2860000000000005	1.714	4.143	4.571000000000001	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	70	517	0.0	0.0454545454545454	0.0909090909090909	0.1818181818181818	0.0909090909090909	0.3181818181818182	0.0909090909090909	0.0	0.0454545454545454	0.1363636363636363	0.1428571428571428	2.123214014231703	1.9653180180971064	An essay written by a 39.0 years old white female, with a four year bachelor's degree, with an income of 45000.0$.	The essay expresses high empathy and low distress levels.	 The top emotions expressed in the essay are: positive.							1
2.0	1.0	I believe protecting nature is extremely important. Whether it is climate change or restricting grazing, we must make a commitment to insuring that our lands are preserved for future generations. People can enjoy the outside and enjoying the outside is especially important for a generation that has often been labelled as couch potatoes. Such lands should be well preserved for them.	neutral	1.0	6.0	1.0	30.0	45000.0	6.0	6.0	1.0	5.5	7.0	4.857	1.714	3.0	2.4290000000000003	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	61	1163	0.0625	0.0	0.125	0.3125	0.0	0.3125	0.0	0.0625	0.0	0.125	0.125	2.9652616833168755	2.721804732118688	An essay written by a 30.0 years old white male, with a four year bachelor's degree, with an income of 45000.0$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay are: trust, positive.							1
3.0	1.75	It must be terrifying to be in a trail derailment like that.  Every mode of transportation is dangerous in some way, but I think trains feel particularly safe.  And yet they're these enormous things with tremendous momentum and when they get off the tracks the result can be devastating.   They use plenty of trains though in europe so eventually something like that will happen.  I just never quite understand why trains derail nowadays.  Sort of seems strange that they're capable of going fast enough to derail themselves.  I guess if the tracks get damaged maybe that could do it.  But I still don't understand it.  Train derailments always puzzle me and seem shocking because they seem like they should never happen.	neutral	1.0	6.0	1.0	41.0	28000.0	2.5	2.0	1.5	2.0	1.0	3.286	4.429	2.714	2.571	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	121	1919	0.1176470588235294	0.0588235294117647	0.2352941176470588	0.1176470588235294	0.0588235294117647	0.1176470588235294	0.1176470588235294	0.0588235294117647	0.0588235294117647	0.0588235294117647	0.0	2.546873917097362	2.515941125349095	An essay written by a 41.0 years old white male, with a four year bachelor's degree, with an income of 28000.0$.	The essay expresses medium empathy and low distress levels.	 The top emotions expressed in the essay are: anticipation.							1
4.167	5.25	hey guys as you can see here an elderly woman has come up and was taken tot he hospital by the police and they are requesting asistance trying to identify her and see who knows her if any of you have seen this woman or know any of her relatives or her name that would really ebhelpful in helping the police get her back with her family and reunite with them if you have any tips o nay sort pleas ome forward and csll the police	neutral	1.0	6.0	2.0	29.0	50000.0	4.5	5.0	4.5	4.5	4.0	3.0	2.4290000000000003	3.0	2.857	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	86	1119	0.2857142857142857	0.0	0.0	0.2857142857142857	0.0	0.2857142857142857	0.0714285714285714	0.0714285714285714	0.0	0.0	0.0	3.284991811282324	3.1279646130356595	An essay written by a 29.0 years old hispanic or latino male, with a four year bachelor's degree, with an income of 50000.0$.	The essay expresses medium empathy and high distress levels.	 The top emotions expressed in the essay are: fear, trust, positive.							1
5.5	6.0	Tensing was later fired. Tensing, 26, testified he feared he was going to be killed. Prosecutors said repeatedly the evidence contradicted Tensing’s story. Judge Megan Shanahan said Saturday that the jury of 10 whites and two blacks spent more two hours deliberating Saturday morning after getting a night’s sleep and still could not reach a decision. “It’s obvious to me you have made a sincere and conscientious effort,” the judge said before setting a new hearing date for Nov. 28 to determine whether the case will re-tried. County prosecutor Joe Deters said he’ll decide within the next two weeks whether to try the case again. Attorney Al Gerhardstein, who represents the DuBose family, said they want another trial and can’t understand why the jury couldn’t reach a conclusion. “With the video	neutral	1.0	6.0	3.0	30.0	30000.0	4.5	3.5	3.5	3.5	4.5	3.143	3.571	3.714	3.857	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	131	177	0.1666666666666666	0.0	0.0	0.2777777777777778	0.0	0.2222222222222222	0.2222222222222222	0.1111111111111111	0.0	0.0	0.0	2.8319663967427458	2.859068827652776	An essay written by a 30.0 years old black or african american male, with a four year bachelor's degree, with an income of 30000.0$.	The essay expresses high empathy and high distress levels.	 The top emotions expressed in the essay are: trust.							1
6.0	5.625	Here is an article I just read about an accident at an amusement park in Australia. I've never heard of Dreamworld, have you? But the ride sounds like the old Shoot the Rapids we used to ride on at Cedar Point. In this case, the boat tipped over and people got trapped in the conveyor belt. I can't even imagine what the last moment of those people's lives must have been like. As for the kids who saw it all happen-- there are no words! At least none of the children died in the accident. But now they have lost a parent. One of those kids was just a baby. Now she will never know her mother. I never thought about rides failing when we were kids and used to go to amusement parks, but now I would probably not ride on any of that stuff.	neutral	2.0	6.0	1.0	49.0	15000.0	5.5	5.5	4.0	6.0	2.5	4.143	3.429	3.714	4.571000000000001	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	146	526	0.1351351351351351	0.081081081081081	0.1081081081081081	0.027027027027027	0.054054054054054	0.1081081081081081	0.2162162162162162	0.1621621621621621	0.0	0.1081081081081081	0.0	2.6187031981155022	2.5647800652986943	An essay written by a 49.0 years old white female, with a four year bachelor's degree, with an income of 15000.0$.	The essay expresses high empathy and high distress levels.	 The top emotions expressed in the essay are: negative.							1
1.0	1.0	This doesn't sound too worrisome to me. If you are affected by depression, then you should decide as an individual to find another option. It's just a side effect, I think there are many medicines out there that have depression as a side effect. It is something that individuals should be aware of, but nothing critical.	neutral	1.0	6.0	5.0	36.0	50000.0	1.5	5.0	1.0	4.5	5.0	3.714	2.714	4.2860000000000005	4.143	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	56	34	0.0	0.0	0.0	0.0	0.0	0.2	0.4	0.4	0.0	0.0	0.0	2.555989979550409	2.5030134589945705	An essay written by a 36.0 years old asian/pacific islander male, with a four year bachelor's degree, with an income of 50000.0$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay are: negative, sadness.							1
1.833	2.375	I'm still on the fence regarding climate change.  I understand that Obama supports that something needs to change, but there is other evidence out there that shows that this is naturally occurring and something that will right itself in time.  I do agree that we need to cut back on our excessive use of electricity.  A little knowledge and everyday self-awareness would likely help us go in the right direction.  I just don't think it's a big cause of concern right now personally.	neutral	2.0	2.0	1.0	37.0	93000.0	4.0	6.0	1.0	5.0	2.5	3.857	4.143	4.2860000000000005	3.286	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	83	1581	0.3333333333333333	0.0	0.1666666666666666	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	2.6284443127835777	2.595367534885462	An essay written by a 37.0 years old white female, with a high school diploma, with an income of 93000.0$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay are: positive.							1
3.833	4.25	There are so many instances of shootings and mass murdering happening around the world today and the example brought up in the article like the Orlando shooting just shows how there is a culture these days where people just don't care anymore. More and more people find it okay to take the lives of innocent people for their own screwed up agenda, whatever that is so that they can show that they have control over the situation. I think a huge problem here is gun laws and there should definitely be some sort of change that occurs.	neutral	2.0	6.0	5.0	24.0	22000.0	4.5	5.0	3.5	4.5	2.0	2.714	4.428999999999999	3.286	4.143	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	97	1029	0.25	0.1875	0.0	0.125	0.0	0.125	0.25	0.0625	0.0	0.0	0.0	2.876774411004067	2.8899811535568065	An essay written by a 24.0 years old asian/pacific islander female, with a four year bachelor's degree, with an income of 22000.0$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay are: fear, negative.							1
