empathy	distress	essay	emotion	gender	education	race	age	income	personality_conscientiousness	personality_openess	personality_extraversion	personality_agreeableness	personality_stability	iri_perspective_taking	iri_personal_distress	iri_fantasy	iri_empathatic_concern	fear	sadness	disgust	surprise	anger	neutral	hope	joy	essay_word_count	essay_id	fear_count	anger_count	anticipation_count	trust_count	surprise_count	positive_count	negative_count	sadness_count	disgust_count	joy_count	hope_count	empathy_count	distress_count	prompt_bio	prompt_emp	prompt_emo	conversation_id	article_id	speaker_id	speaker_number	split	prompt	emotion_dataset
6.666666666666667	5.625	It was very sad what happened in Paris. I think the terrorist are cowards. I would hate to find out after all the worrying and not being able to reach my child that they had died on social media. It was very sad to read about and feel the father's emotions about his daughter.  I was happy that he found some peace with his lost.	sadness	1.0	6.0	3.0	37.0	40000.0	7.0	5.5	1.0	6.5	6.0	4.857	2.0	3.429	5.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	65	1814	0.088235294117647	0.0588235294117647	0.1176470588235294	0.1176470588235294	0.0294117647058823	0.1470588235294117	0.1176470588235294	0.1176470588235294	0.0588235294117647	0.1470588235294117	0.1666666666666666	2.907365495275942	2.6998596258615595	An essay written by a 37.0 years old black or african american male, with a four year bachelor's degree, with an income of 40000.0$.	The essay expresses high empathy and high distress levels.	 The top emotions expressed in the essay are: positive, joy.							1
2.167	5.5	Read this article, this happened in Georgia where I live so I saw massive amounts of news coverage related to this case. I personally believe that the guy is guilty, there are too many things that he did and said that did not add up.It seems that he wanted to get rid of his kid and leave his wife and live his free lifestyle. I do not see any possible way that he did not know that the kid was in the car. That poor kid!	anger	2.0	4.0	1.0	47.0	79000.0	6.5	4.0	5.5	7.0	7.0	5.0	2.286	4.428999999999999	5.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	86	94	0.1	0.1	0.0	0.1	0.1	0.0	0.3	0.3	0.0	0.0	0.0	2.6980460245635256	2.666816827876811	An essay written by a 47.0 years old white female, went to college, with an income of 79000.0$.	The essay expresses low empathy and high distress levels.	 The top emotions expressed in the essay are: negative, sadness.							0
6.0	6.625	I feel very sorry for the children and there families. Eating is one of the basic needs of survival and it looks like there families are trying, but they just can not afford to pay for food. Seeing that supplies for school cost five times the monthly wage was outrageous. I see the situation getting worse before it gets better.	sadness	1.0	6.0	3.0	37.0	40000.0	7.0	5.5	1.0	6.5	6.0	4.857	2.0	3.429	5.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	60	1676	0.0714285714285714	0.0	0.0714285714285714	0.2142857142857142	0.0714285714285714	0.2857142857142857	0.0714285714285714	0.0714285714285714	0.0	0.1428571428571428	0.0	2.877551541533573	2.8420889119158512	An essay written by a 37.0 years old black or african american male, with a four year bachelor's degree, with an income of 40000.0$.	The essay expresses high empathy and high distress levels.	 The top emotions expressed in the essay are: positive.							1
3.833	4.25	well well well, look at what we have well, the arrogant Kim Kardashian finally got what she deserves: being robbed for millions, the thought of it is bitter, considering it's a robbery after all, but think the other way, a rich superfluous gal as Kim, broadcasting her belongings on social media, I guess she brought this upon herself	disgust	1.0	6.0	5.0	24.0	45000.0	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	58	7	0.0588235294117647	0.1176470588235294	0.1176470588235294	0.0588235294117647	0.1176470588235294	0.0588235294117647	0.1764705882352941	0.0588235294117647	0.1764705882352941	0.0588235294117647	0.125	2.657753776111351	2.539812029796602	An essay written by a 24.0 years old asian/pacific islander male, with a four year bachelor's degree, with an income of 45000.0$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay are: negative, disgust.							0
3.8333333333333335	1.75	Losing anyone in an accident is a terribly tragic thing, but losing your whole family in one quick flash would be absolutely crippling. I just read about an accident where this exact thing happened to a person. The details were unclear, but it seemed to be caused by the carelessness of another driver. My heart goes out to people who have to live through this kind of tragedy.	sadness	1.0	4.0	1.0	29.0	39000.0	6.0	6.5	1.0	6.0	5.5	5.0	2.286	3.286	4.143	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	68	1700	0.1363636363636363	0.0909090909090909	0.0	0.0454545454545454	0.0909090909090909	0.0454545454545454	0.2727272727272727	0.2272727272727272	0.0454545454545454	0.0454545454545454	0.0	2.9702161275742625	2.8796907395418416	An essay written by a 29.0 years old white male, went to college, with an income of 39000.0$.	The essay expresses medium empathy and low distress levels.	 The top emotions expressed in the essay are: negative.							1
6.832999999999999	6.75	All of you know that I love birds. This article was hard for me to read because of that. Wind turbines are killing a lot of birds, including eagles. It's really very sad. It makes me feel awful. I am all for wind turbines and renewable sources of energy because of global warming and coal, but this is awful. I don't want these poor birds to die like this. Read this article and you'll see why.	sadness	2.0	6.0	1.0	34.0	60000.0	6.0	4.5	1.0	6.5	2.0	4.143	4.857	4.428999999999999	4.571000000000001	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	76	299	0.2	0.15	0.0	0.0	0.0	0.1	0.2	0.2	0.1	0.05	0.0	2.937587753463464	2.762890370862654	An essay written by a 34.0 years old white female, with a four year bachelor's degree, with an income of 60000.0$.	The essay expresses high empathy and high distress levels.	 The top emotions expressed in the essay are: fear, negative, sadness.							1
6.0	6.0	I think what happens is just too sad. Anytime attacks like these are done on innocent people you can't help but try and think of ways you can prevent this. Paris is such a long historic place too and  to have these attacks happen there really makes you wonder if there is any place that is safe. That is the truth.	sadness	1.0	6.0	2.0	32.0	35000.0	5.5	5.0	2.0	5.5	4.5	3.429	2.857	2.857	2.714	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	61	1711	0.1	0.0	0.2	0.3	0.0	0.3	0.0	0.0	0.0	0.1	0.0	2.9176673242960764	2.8274996955419094	An essay written by a 32.0 years old hispanic or latino male, with a four year bachelor's degree, with an income of 35000.0$.	The essay expresses high empathy and high distress levels.	 The top emotions expressed in the essay are: trust, positive.							1
1.0	1.875	Yuck.  Although I don't think you can say it was particularly disturbing for women because a lot of women voted for the misogynistic ass.  The real problem was reasonable people didn't bother to vote.  I did.  And after the election news I was so depressed, I stayed home and drank wine that day. I didn't have to work.	sadness	2.0	5.0	1.0	34.0	50000.0	6.0	5.0	2.0	5.5	6.0	3.143	2.714	3.429	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	58	347	0.1052631578947368	0.1052631578947368	0.0526315789473684	0.1052631578947368	0.0526315789473684	0.1052631578947368	0.2631578947368421	0.1578947368421052	0.0	0.0526315789473684	0.0	2.310506654359674	2.255296857300668	An essay written by a 34.0 years old white female, with a two year associate degree, with an income of 50000.0$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay are: negative.							1
5.667000000000001	4.375	This is so sad. Something needs to be done for these refugees. People need to be more accepting of them. People shouldn't be afraid of letting them into their country, they are just people who need help. I feel so bad for the babies, children and mothers on these boats. It's horrifying to imagine drowning in the sea, especially from the eyes of a child.	sadness	2.0	6.0	1.0	35.0	38000.0	6.0	4.0	1.0	6.0	3.5	3.571	2.857	3.571	4.2860000000000005	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	65	575	0.2	0.0666666666666666	0.0666666666666666	0.0	0.0	0.1333333333333333	0.2	0.1333333333333333	0.1333333333333333	0.0666666666666666	0.0	3.088388449221157	3.0595605112072546	An essay written by a 35.0 years old white female, with a four year bachelor's degree, with an income of 38000.0$.	The essay expresses high empathy and medium distress levels.	 The top emotions expressed in the essay are: fear, negative.							1
6.5	6.625	It makes me sad that people have to risk their life to get help. It makes me madder that those people are turned away for their search for a better life. It is human history for people to be able to move around and search for a better life. Now with boarders people are stuck in the place that they are born.  	sadness	1.0	6.0	3.0	37.0	40000.0	7.0	5.5	1.0	6.5	6.0	4.857	2.0	3.429	5.0									62	2315	0.3333333333333333	0.0	0.3333333333333333	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	3.1703366965168467	2.917677370423967	An essay written by a 37 years old black or african american male, with a four year bachelor's degree, with an income of 40000$.	The essay expresses high empathy and high distress levels.	 The top emotions expressed in the essay are: fear, negative, anticipation.	103.0	67.0	30.0	1.0	train	"It makes me sad that people have to risk their life to get help. It makes me madder that those people are turned away for their search for a better life. It is human history for people to be able to move around and search for a better life. Now with boarders people are stuck in the place that they are born.  ""An essay written by a 37 years old black or african american male, with four year bachelor's degree, with an income of 40000$. The essay expresses high empathy and high distress level. Top emotions expressed by the writer are: fear, negative, anticipation."""	1
