empathy	distress	essay	emotion	gender	education	race	age	income	personality_conscientiousness	personality_openess	personality_extraversion	personality_agreeableness	personality_stability	iri_perspective_taking	iri_personal_distress	iri_fantasy	iri_empathatic_concern	fear	sadness	disgust	surprise	anger	neutral	hope	joy	essay_word_count	essay_id	fear_count	anger_count	anticipation_count	trust_count	surprise_count	positive_count	negative_count	sadness_count	disgust_count	joy_count	hope_count	empathy_count	distress_count	empathy_level	distress_level	prompt_bio	prompt_emp	prompt_emo	conversation_id	article_id	speaker_id	speaker_number	split	prompt	emotion_dataset
2.667	2.625	I have a lot of sympathy for everyone worried about the Trump administration. I get it. They're not wrong to be worried. I think the author of this article misidentifies the source of the problem, though. It's not Trump. Trump himself isn't why we're in this situation. It's the people and institutions who supported him and the people and institutions who were ineffective at combating him that deserve the lion's share of the blame.	anger	1.0	6.0	1.0	35.0	31500.0	4.5	4.0	1.5	3.0	2.0	2.143	3.429	3.143	2.4290000000000003	0	0	0	0	1	0	0	0	74	339	0.074074074074074	0.074074074074074	0.074074074074074	0.1111111111111111	0.0	0.2222222222222222	0.2222222222222222	0.1481481481481481	0.037037037037037	0.037037037037037	0.0769230769230769	2.343570702841295	2.3702111880019787	low	low	An essay written by a 35.0 years old white male, with a four year bachelor's degree, with an income of 31500.0$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay are: sadness.							0
5.166666666666667	1.625	Fires always manage to touch my heart. I have personal experience with this and the fear is still with me to this day. A fire can ravage everything that you have any really leave a person traumatized. A lot of times a person or family will get woken up to loud alarms and smoke out of nowhere and have to pick their most important possessions to save. This is a scary situation!	fear/sadness	1.0	2.0	1.0	30.0	30000.0	6.0	6.5	4.0	4.0	5.5	4.0	1.571	4.0	3.857	1	1	0	0	0	0	0	0	72	2081	0.125	0.0625	0.0	0.25	0.0625	0.25	0.125	0.0625	0.0	0.0625	0.0	2.968367603302817	2.863413573756363	medium	medium	An essay written by a 30.0 years old white male, with a high school diploma, with an income of 30000.0$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay are: fear.							1
5.0	5.5	what horror this news. in poor little boy of just 2 years of age he fell through the window of his apartment on the 11th floor of a building. The mother relates that I go to sleep with her older brother and this one hour later I climb to the window that apparently was open and rushed into the void crashing with the asphalt of the parking lot. A neighbor found the scene and desperate for horror called 911.	fear	1.0	6.0	1.0	50.0	54000.0	6.0	4.5	3.5	6.0	6.0	4.0	2.4290000000000003	3.571	4.0	1	0	0	0	0	0	0	0	79	1393	0.0606060606060606	0.0606060606060606	0.0606060606060606	0.1212121212121212	0.0606060606060606	0.1515151515151515	0.1818181818181818	0.1515151515151515	0.0909090909090909	0.0606060606060606	0.0	2.891689740369656	2.9068319278182235	low	medium	An essay written by a 50.0 years old white male, with a four year bachelor's degree, with an income of 54000.0$.	The essay expresses low empathy and medium distress levels.	 The top emotions expressed in the essay are: sadness.							1
5.0	5.125	Friends and Family - we need to lobby for president Trump to take global warming more seriously.  As predicted, the temperature may rise in the near future by one point five degrees Celsius.  This will drastically change our weather and therefore cause disastrous effects to many, many places around the world.  This can all be stopped though if we get on board now!	fear	1.0	6.0	1.0	34.0	50000.0	6.0	6.0	6.0	6.0	6.0	4.0	2.0	3.857	4.0	1	0	0	0	0	0	0	0	63	1205	0.25	0.125	0.125	0.125	0.0	0.125	0.125	0.125	0.0	0.0	0.0	2.6256782605852838	2.7528786013537445	low	medium	An essay written by a 34.0 years old white male, with a four year bachelor's degree, with an income of 50000.0$.	The essay expresses low empathy and medium distress levels.	 The top emotions expressed in the essay are: fear.							1
4.833	1.25	The first article never appeared, there was only a generic place holders and nothing to write about. I answered questions about my emotions based on how I feel right now and I'm writing this to explain that the article wasn't there. I hope that the following articles will appear and I'll be able to finish this survey as intended.	neutral	2.0	6.0	1.0	45.0	30000.0	4.5	5.5	2.5	5.5	5.5	3.571	2.143	4.143	4.428999999999999	0	0	0	0	0	1	0	0	59	75	0.0	0.0	0.2222222222222222	0.2222222222222222	0.1111111111111111	0.3333333333333333	0.0	0.0	0.0	0.1111111111111111	0.0833333333333333	2.623526913373296	2.2488024922805816	low	low	An essay written by a 45.0 years old white female, with a four year bachelor's degree, with an income of 30000.0$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay are: surprise, joy.							0
1.0	2.5	Hey I was just reading an article about a teacher bashing president Trump. You know my position when it comes to Trump, you know I dislike the man and all; however, I do not believe a teacher can use his position to bash someone especially on school grounds. I believe he can state his opinion, but not disguise it as the truth. That could be very dangerous.	fear	1.0	2.0	2.0	27.0	39000.0	5.0	5.5	2.5	3.5	1.0	3.429	3.429	3.0	3.571	1	0	0	0	0	0	0	0	67	707	0.0666666666666666	0.0666666666666666	0.0	0.3333333333333333	0.0	0.3333333333333333	0.1333333333333333	0.0	0.0666666666666666	0.0	0.0	2.586650980418273	2.531326651827175	low	low	An essay written by a 27.0 years old hispanic or latino male, with a high school diploma, with an income of 39000.0$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay are: anger, disgust.							1
7.0	1.75	The pipeline seems to be interfering with native american tribes and is causing lots of enviornmental damage. I do feel for these individuals, and it's important they get all the help they deserve. Their anscestors were decimated throughout history and there isnt enough reparations to solve the genocide that was caused.	sadness	1.0	5.0	5.0	27.0	100000.0	7.0	7.0	7.0	7.0	7.0	5.0	1.571	4.428999999999999	5.0	0	1	0	0	0	0	0	0	51	113	0.0	0.2	0.1	0.2	0.0	0.2	0.1	0.1	0.1	0.0	0.0	3.1606530669776847	2.686210210575405	high	medium	An essay written by a 27.0 years old asian/pacific islander male, with a two year associate degree, with an income of 100000.0$.	The essay expresses high empathy and medium distress levels.	 The top emotions expressed in the essay are: anger.							0
3.667	4.25	I felt sad that the turtles are fading because of the habitat temperature rising annually. We, as humans can help I think by trying to not contribute to the increase of Carbon Dioxide consumption, we can stop global warming and try to help t he sea turtles from going extinct and so our children and grandchildren can see them in the future.	sadness	1.0	6.0	5.0	25.0	45000.0	4.0	5.5	3.5	5.0	6.0	3.857	3.286	2.857	3.143	0	1	0	0	0	0	0	0	62	26	0.0	0.0	0.1538461538461538	0.0769230769230769	0.0	0.4615384615384615	0.0769230769230769	0.0769230769230769	0.0	0.1538461538461538	0.0	3.086889091103362	3.037001859844289	medium	medium	An essay written by a 25.0 years old asian/pacific islander male, with a four year bachelor's degree, with an income of 45000.0$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay are: joy.							0
4.167	4.75	Passing this article along to you because I know you will think this is absurd. Gay men are not being allowed to donate blood to the victims of the Pulse Nightclub shooting. Isn't that crazy! Apparently, outdated rules put them at high risk for HIV and they can not donate for fear of spreading HIV. This is super discriminatory as HIV is not just found in gay men. People instead should be appropriately tested for HIV.	fear	2.0	6.0	1.0	31.0	60000.0	7.0	5.5	2.0	6.0	5.0	3.429	3.143	2.714	3.429	1	0	0	0	0	0	0	0	76	361	0.2352941176470588	0.1764705882352941	0.0588235294117647	0.0588235294117647	0.0	0.0588235294117647	0.2941176470588235	0.0588235294117647	0.0	0.0588235294117647	0.0	2.5207741678680984	2.6590266594939496	low	medium	An essay written by a 31.0 years old white female, with a four year bachelor's degree, with an income of 60000.0$.	The essay expresses low empathy and medium distress levels.	 The top emotions expressed in the essay are: fear.							1
4.167	4.25	Hey I feel like Trump winning was way worse than people thought. The amount of violent attacks on minorites and in general have increased considerably. There have been over 200 attacks since election day can you imagine that? I hate that trunp supporters somehow feel vindicated with their awful racism.	anger	1.0	5.0	1.0	28.0	39000.0	3.5	5.0	3.5	4.0	4.0	3.143	2.857	3.286	2.857	0	0	0	0	1	0	0	0	50	121	0.1379310344827586	0.1034482758620689	0.0689655172413793	0.0689655172413793	0.0689655172413793	0.1034482758620689	0.1379310344827586	0.1379310344827586	0.1379310344827586	0.0344827586206896	0.0625	2.797656468842628	2.8583394964162085	medium	medium	An essay written by a 28.0 years old white male, with a two year associate degree, with an income of 39000.0$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay are: sadness, disgust.							0
