empathy	distress	essay	emotion	gender	education	race	age	income	personality_conscientiousness	personality_openess	personality_extraversion	personality_agreeableness	personality_stability	iri_perspective_taking	iri_personal_distress	iri_fantasy	iri_empathatic_concern	fear	sadness	disgust	surprise	anger	neutral	hope	joy	essay_word_count	essay_id	fear_count	anger_count	anticipation_count	trust_count	surprise_count	positive_count	negative_count	sadness_count	disgust_count	joy_count	hope_count	empathy_count	distress_count	empathy_level	distress_level	prompt_bio	prompt_emp	prompt_emo	conversation_id	article_id	speaker_id	speaker_number	split	prompt	emotion_dataset
6.0	6.0	This article really hits home for me as my father was a smoker. I am so grateful he choose to smoke outside and never around us kids. I had friends that there families would smoke in there car and inside and they and there stuff reaked. I remember coming away from there house feeling so sick from it. I think cigarette smoke has the potential to really harm children who are growing. It can harm anyone who breathes in the second hand smoke so banning it in public areas or atleast where children frequent is a very great idea. It effects everyone around you when you smoke in public we dont have a choice to breathe it in so you should not have the right to do it like public drinking.	neutral	2.0	3.0	1.0	27.0	25000.0	6.0	6.0	6.0	6.0	6.0	4.0	2.286	3.571	3.714	0	0	0	0	0	1	0	0	131	2017	0.1	0.0333333333333333	0.1666666666666666	0.0666666666666666	0.0333333333333333	0.2	0.2333333333333333	0.0666666666666666	0.0666666666666666	0.0333333333333333	0.0434782608695652	2.940353679531366	2.7247461163058446	medium	low	An essay written by a 27.0 years old white female, went to a technical/vocational school, with an income of 25000.0$.	The essay expresses medium empathy and low distress levels.	 The top emotions expressed in the essay are: fear.							1
5.5	5.625	This article says that, A deeper look inside Wells Fargo's shameful vault — People my kids' age, who track their money by smartphone, wonder why garish competing bank branches still stud every shopping district in Philadelphia and the suburbs. Now we know: Behind the lollipops and the barred cages where the tellers sit, perverse incentives at many banks turn branches into, not just stores, but sweatshops, pushing products customers don't need and may not have ordered, thanks to admissions by Wells Fargo Bank, the dominant lender around Philadelphia, and veteran bankers. Facing outrage, Wells Fargo has belatedly stalled tens of millions of dollars in stock awards to two top executives after admitting it fired 5,300 low-paid workers over five years for opening phony accounts.	disgust	2.0	6.0	1.0	23.0	65000.0	5.5	4.0	4.5	4.0	4.5	3.429	3.429	3.857	3.429	0	0	1	0	0	0	0	0	124	215	0.0512820512820512	0.1025641025641025	0.1025641025641025	0.1794871794871795	0.0769230769230769	0.1282051282051282	0.1794871794871795	0.0256410256410256	0.1025641025641025	0.0512820512820512	0.0416666666666666	2.4151312201929303	2.583982302011855	low	medium	An essay written by a 23.0 years old white female, with a four year bachelor's degree, with an income of 65000.0$.	The essay expresses low empathy and medium distress levels.	 The top emotions expressed in the essay are: anger, disgust.							0
6.0	7.0	There has got to be a better solution that we can all come up with to make sure that these deaths are stopped or at least decreased. I understand making sure that the elephants are safe, but people should take priority as well. There are people fearing for their lives. What can their country do about it, and if their country can't, when will another country come in and offer their assistance?	surprise	2.0	5.0	1.0	37.0	29999.0	7.0	7.0	7.0	7.0	7.0	5.0	1.714	4.143	5.0	0	0	0	1	0	0	0	0	72	174	0.125	0.0	0.0	0.125	0.0	0.5	0.125	0.0	0.0	0.125	0.0	3.043665712573969	2.926447160728051	medium	medium	An essay written by a 37.0 years old white female, with a two year associate degree, with an income of 29999.0$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay are: joy.							0
6.333333333333333	6.125	It is incredibly saddening to witness the shift in the circumstances and protection afforded to immigrants. Having come across an article detailing the latest events in Germany, a country that was once known for welcoming immigrants, it is disheartening to see the current toughened approach. I am overwhelmed with remorse and profound anguish for those individuals who are truly in need of sanctuary, something Germany was previously renowned for offering. Optimistically, the situation will take a positive turn.	hope/sadness	1.0	7.0	1.0	46.0	150000.0	3.5	4.0	4.0	5.0	3.0	3.286	3.857	3.0	2.857	0	1	0	0	0	0	1	0	78	2201	0.0588235294117647	0.0588235294117647	0.0588235294117647	0.1764705882352941	0.0	0.1176470588235294	0.2352941176470588	0.2352941176470588	0.0	0.0588235294117647	0.0	2.7251545489214	2.6071222029650083	medium	low	An essay written by a 46.0 years old white male, postgradute or with a professional degree, with an income of 150000.0$.	The essay expresses medium empathy and low distress levels.	 The top emotions expressed in the essay are: sadness.							0
6.167000000000001	5.5	You have to read this.  It's unbelievable that people could act so rash and wrong towards another human being, no matter what happened.  If I were in that situation, I'd be so angry and I would want to hurt someone back.  It's hard not to get caught up in the emotion of the situation since so many people got hurt.	anger	1.0	4.0	1.0	35.0	90000.0	7.0	2.0	4.5	7.0	6.5	4.714	2.0	1.714	4.857	0	0	0	0	1	0	0	0	60	670	0.1333333333333333	0.2	0.0	0.0	0.0	0.0	0.4	0.1333333333333333	0.1333333333333333	0.0	0.0	2.723077215390707	2.800612291437542	medium	medium	An essay written by a 35.0 years old white male, went to college, with an income of 90000.0$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay are: anger.							0
5.666666666666667	4.375	Reading about the plight of the Rohingya is always a very sobering experience. Basically, these people are nation-less. They are being persecuted in Burma and forced out of neighboring Bangladesh. I feel like Suu Kyi is being unfairly blamed for a situation that is just too complex for the country to solve effectively. I'm really trying to put myself into the shoes of one of the oppressed Muslim minorities like the Rohingya or the Uyghers and having a very difficult time imagining what a day in their lives must be like.	neutral	1.0	4.0	1.0	29.0	39000.0	6.0	6.5	1.0	6.0	5.5	5.0	2.286	3.286	4.143	0	0	0	0	0	1	0	0	91	1967	0.3333333333333333	0.0	0.2222222222222222	0.0	0.0	0.0	0.2222222222222222	0.1111111111111111	0.1111111111111111	0.0	0.0	2.60288364097306	2.526598938573804	low	low	An essay written by a 29.0 years old white male, went to college, with an income of 39000.0$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay are: fear.							1
3.333	2.5	That is really sad to hear. It's awful that cars can be so unsafe and sometimes people forget how easy it is to get into an accident if everyone isn't careful and observant. It said this happened at 6:30pm so I wonder if maybe the sun was shining right in someone's eyes because that has happened to me at sunset and I could barely see. It's difficult to pull over and stop in those conditions as well.	sadness	1.0	2.0	1.0	23.0	27000.0	5.0	5.5	1.0	4.5	5.0	4.0	2.714	3.429	3.429	0	1	0	0	0	0	0	0	77	484	0.1538461538461538	0.0384615384615384	0.1153846153846153	0.0384615384615384	0.0769230769230769	0.2307692307692307	0.1538461538461538	0.0769230769230769	0.0384615384615384	0.0769230769230769	0.0	2.811145798313764	2.7370854918760794	medium	medium	An essay written by a 23.0 years old white male, with a high school diploma, with an income of 27000.0$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay are: fear.							0
6.0	4.25	I just read a story about school children in Venezuela that are apparently starving due to the lack of government investment in food programs. The image of school children falling asleep or fainting due to lack of nutrition is just absolutely heart breaking. I can't imagine what the parents must feel having to send their children to school where they will not eat at all. A child can't learn without appropriate nutrition.	neutral	1.0	4.0	1.0	29.0	39000.0	6.0	6.5	1.0	6.0	5.5	5.0	2.286	3.286	4.143	0	0	0	0	0	1	0	0	72	1903	0.0909090909090909	0.0	0.0454545454545454	0.1818181818181818	0.0454545454545454	0.1818181818181818	0.2727272727272727	0.0909090909090909	0.0	0.0909090909090909	0.0	2.961231520865773	2.8544807132793224	medium	medium	An essay written by a 29.0 years old white male, went to college, with an income of 39000.0$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay are: sadness, joy.							1
1.0	1.375	"Wow.  Let me get this straight: The German Consulate are ""invaders"" but all of the Middle East and North Africa pouring into Europe like the Camp of the Saints is ""refugees"" and if we complain about it, we're racists.  Here's an idea:  All Muslims, Arabs, and whatever else we're not supposed to notice this week can go back to the Middle East, and then our ""invading"" consulates and embassies will be HAPPY to go back to where we came from.  Never speak to us again.  Ugh.  ""The Taliban.....""  Yeah, no, the word you're looking for here is MUSLIMS.  The MUSLIMS are the problem, not the Taliban."	disgust	1.0	4.0	1.0	41.0	12500.0	6.0	4.0	3.5	6.0	3.0	2.714	1.857	4.857	3.0	0	0	1	0	0	0	0	0	106	278	0.125	0.125	0.0	0.125	0.0	0.125	0.25	0.25	0.0	0.0	0.0	2.1941460679721567	2.1034057517495044	medium	low	An essay written by a 41.0 years old white male, went to college, with an income of 12500.0$.	The essay expresses medium empathy and low distress levels.	 The top emotions expressed in the essay are: sadness.							0
6.0	6.25	these hate crimes have been rising lately and i feel it is due to more than just terrorists. These hate crimes have not only risen in muslims but also other minorities if you look closely at the news. I feel like more needs to be done to fix this. The fact that we haven't fixed things yet is quite scary and we need to do the right thing and take steps to clean up the problem.	fear/neutral	1.0	6.0	2.0	32.0	35000.0	5.5	5.0	2.0	5.5	4.5	3.429	2.857	2.857	2.714	1	0	0	0	0	1	0	0	76	2431	0.1428571428571428	0.0952380952380952	0.0476190476190476	0.1428571428571428	0.0	0.0952380952380952	0.1428571428571428	0.1428571428571428	0.0952380952380952	0.0952380952380952	0.0	2.859611613962261	3.003268596999805	low	medium	An essay written by a 32 years old hispanic or latino male, with a four year bachelor's degree, with an income of 35000$.	The essay expresses low empathy and medium distress levels.	 The top emotions expressed in the essay are: sadness.	273.0	146.0	19.0	1.0	train	"these hate crimes have been rising lately and i feel it is due to more than just terrorists. These hate crimes have not only risen in muslims but also other minorities if you look closely at the news. I feel like more needs to be done to fix this. The fact that we haven't fixed things yet is quite scary and we need to do the right thing and take steps to clean up the problem.""An essay written by a 32 years old hispanic or latino male, with four year bachelor's degree, with an income of 35000$. The essay expresses high empathy and high distress level. Top emotions expressed by the writer are: fear, trust, negative, sadness."""	1
