empathy	distress	essay	emotion	gender	education	race	age	income	personality_conscientiousness	personality_openess	personality_extraversion	personality_agreeableness	personality_stability	iri_perspective_taking	iri_personal_distress	iri_fantasy	iri_empathatic_concern	fear	sadness	disgust	surprise	anger	neutral	hope	joy	essay_word_count	essay_id	fear_count	anger_count	anticipation_count	trust_count	surprise_count	positive_count	negative_count	sadness_count	disgust_count	joy_count	hope_count	empathy_count	distress_count	empathy_level	distress_level	prompt_bio	prompt_emp	prompt_emo	conversation_id	article_id	speaker_id	speaker_number	split	prompt	emotion_dataset
2.167	5.5	Read this article, this happened in Georgia where I live so I saw massive amounts of news coverage related to this case. I personally believe that the guy is guilty, there are too many things that he did and said that did not add up.It seems that he wanted to get rid of his kid and leave his wife and live his free lifestyle. I do not see any possible way that he did not know that the kid was in the car. That poor kid!	anger	2.0	4.0	1.0	47.0	79000.0	6.5	4.0	5.5	7.0	7.0	5.0	2.286	4.428999999999999	5.0	0	0	0	0	1	0	0	0	86	94	0.1	0.1	0.0	0.1	0.1	0.0	0.3	0.3	0.0	0.0	0.0	2.6980460245635256	2.666816827876811	low	low	An essay written by a 47.0 years old white female, went to college, with an income of 79000.0$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay are: sadness.							0
1.833	2.75	"It was sort of sadly ironic to see the part in there about ""we don't think he'll win"" considering what followed. All of it, sadly, still rings true, day after day. There's been no apology, only a doubling down on the kind of bile, arrogance, and ignorance that was on display since day one. I feel bad for every woman in the country who has to live with someone like that as their president."	sadness	1.0	2.0	1.0	37.0	12000.0	5.5	1.0	1.0	2.0	1.0	3.0	5.0	5.0	3.429	0	1	0	0	0	0	0	0	74	83	0.0434782608695652	0.0869565217391304	0.0	0.1304347826086956	0.0	0.1739130434782608	0.2608695652173913	0.1304347826086956	0.0869565217391304	0.0869565217391304	0.0	2.53019083124816	2.544220419033075	low	low	An essay written by a 37.0 years old white male, with a high school diploma, with an income of 12000.0$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay are: sadness.							0
1.833	1.0	I pretty much hate all wildlife including squirrels. They should  just go blast the little varmint. After all squirrels carry rabies and other diseases even if they say small animals seldom have rabies. Once you bite a human, it's over and you deserve to die. It is kind of funny though these elderly people not being able to get away. Why does everything wacky always happen in Florida. Like 30% of anything strange happens in Florida. Frankly I think some reporter made the whole thing up. Squirrels are not going to attack multiple people. Sure they might on a rare occasion bite someone but not three people. Then again it's Florida so common laws and logic go out the window. ANyhow thought you might enjoy some rambling on some things I read. Take care buddy. Later.	surprise	1.0	6.0	1.0	61.0	18000.0	6.5	5.5	5.5	5.5	5.5	3.286	1.571	3.143	3.143	0	0	0	1	0	0	0	0	136	1373	0.0888888888888888	0.0888888888888888	0.1333333333333333	0.1333333333333333	0.0222222222222222	0.1555555555555555	0.2222222222222222	0.0444444444444444	0.0222222222222222	0.0888888888888888	0.1153846153846153	2.616821820008585	2.450088972978355	low	low	An essay written by a 61.0 years old white male, with a four year bachelor's degree, with an income of 18000.0$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay are: hope.							1
3.167	1.375	Wow, can you believe he survived in the jungle that long on his own?  It is amazing what the human body is capable of hey?  I remember the last time I went a couple days without food and it was so intense.  People think they are ready to survive in the wild but we really have so few skills to get food for ourselves without the right tools.  It's amazing that he was found after all that time.  I wonder how long it will take for him to recover?	surprise	2.0	7.0	1.0	35.0	80000.0	7.0	5.5	3.5	7.0	5.5	4.0	1.857	3.857	3.857	0	0	0	1	0	0	0	0	89	387	0.0769230769230769	0.0384615384615384	0.1923076923076923	0.1538461538461538	0.0769230769230769	0.1923076923076923	0.0769230769230769	0.0	0.0384615384615384	0.1538461538461538	0.0	2.83545038647871	2.662427474440108	medium	low	An essay written by a 35.0 years old white female, postgradute or with a professional degree, with an income of 80000.0$.	The essay expresses medium empathy and low distress levels.	 The top emotions expressed in the essay are: joy.							1
6.167000000000001	6.25	Hi can you believe this? We have to be very careful with this. You never know what kind of damage you can receive in your eyes from having these infections. I would never want to this to happen to me or my daughter. I will have to really take care of my our lenses from now and on to prevent any damage.	fear	1.0	4.0	2.0	30.0	19000.0	7.0	7.0	4.0	7.0	7.0	3.857	1.714	4.0	4.714	1	0	0	0	0	0	0	0	62	105	0.0625	0.125	0.0625	0.0625	0.0	0.1875	0.125	0.125	0.125	0.125	0.0	3.061255819946334	2.907692217693508	medium	medium	An essay written by a 30.0 years old hispanic or latino male, went to college, with an income of 19000.0$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay are: anger, sadness, disgust, joy.							0
1.0	1.625	"I had no idea that Zika was discovered in 1947 and that there was an outbreak in 2007. As far as I knew, it was only the very recent outbreak that Zika was discovered. How wrong I was. It was actually really heartening to read this, because I want to start a family in the next few years and I was practically twitching with anxiety. I tend to get bitten by a ton of mosquitoes every summer no matter what I do while my husband doesn't get bit at all. And what about global climate change pushing things like this further north? It is good to know that it comes in and out of viral ""fashion"" and that there is a herd immunity aspect to it. Maybe I can put down the mosquito shotgun for now and aim for a slightly stronger spray for my clothing."	surprise	2.0	7.0	1.0	31.0	67000.0	4.5	6.0	2.0	4.0	2.0	4.0	3.143	2.714	4.571000000000001	0	0	0	1	0	0	0	0	146	942	0.125	0.125	0.1875	0.0625	0.0625	0.0625	0.1875	0.0625	0.0625	0.0625	0.037037037037037	2.527744013720697	2.4238851744935817	low	low	An essay written by a 31.0 years old white female, postgradute or with a professional degree, with an income of 67000.0$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay are: anger.							1
5.167000000000001	4.875	Feelings are deemed appropriate if they fit the current situation. Since individuals want to fit in and be seen as normal, they are constantly working on their feelings in order to fit the situation. Emotion work is more so how people want to feel or how they want other people to see them feel. Feelings are not permanent, but an ongoing thing because people constantly try to bring up, suppress, or manage feelings	neutral	1.0	6.0	3.0	30.0	40000.0	4.0	3.5	4.5	3.5	4.5	3.0	3.429	3.571	3.0	0	0	0	0	0	1	0	0	73	188	0.1	0.1	0.1	0.3	0.0	0.2	0.1	0.1	0.0	0.0	0.0	2.9917231199046785	2.922755860176507	medium	medium	An essay written by a 30.0 years old black or african american male, with a four year bachelor's degree, with an income of 40000.0$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay are: anger, sadness.							0
2.667	4.5	Wow!  I didn;t know tigers were in such trouble!  This makes me want to do more research and donate to the National Tiger Conservation Authority.  We must protect these animals!  It is so disturbing that poaching is still so problematic in today's society.  I have heard of poaching of other animals, but rarely about tigers.  I hope something can be done, and soon, to help tigers.	surprise	2.0	6.0	1.0	42.0	105000.0	6.0	6.5	3.0	6.5	2.5	3.714	2.4290000000000003	4.714	4.714	0	0	0	1	0	0	0	0	66	316	0.125	0.125	0.0625	0.0625	0.0625	0.125	0.125	0.125	0.125	0.0625	0.1666666666666666	2.750375471462009	2.607050172787123	medium	low	An essay written by a 42.0 years old white female, with a four year bachelor's degree, with an income of 105000.0$.	The essay expresses medium empathy and low distress levels.	 The top emotions expressed in the essay are: hope.							1
6.5	2.875	I feel bad for the mother and her two daughters that died in the accident. I'm a person that worries and being in a trailer would have me worrying. It is very sad that their life were cut short because they wanted to enjoy sometime together and go for a ride on Halloween.  I hope that the other people involved in the crash find peace.	hope/sadness	1.0	6.0	3.0	37.0	40000.0	7.0	5.5	1.0	6.5	6.0	4.857	2.0	3.429	5.0	0	1	0	0	0	0	1	0	65	1584	0.1111111111111111	0.0277777777777777	0.1388888888888889	0.1111111111111111	0.0833333333333333	0.1111111111111111	0.1388888888888889	0.1388888888888889	0.0277777777777777	0.1111111111111111	0.1538461538461538	2.898057416549239	2.7857397608843626	low	low	An essay written by a 37.0 years old black or african american male, with a four year bachelor's degree, with an income of 40000.0$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay are: hope.							0
3.167	1.375	This is so sad.  Today I read about a lady who passed away November 6th and had shared many of her stories of her experiences in the holocaust.  IT's very sad to think there aren't many people left to share these stories.  I remember being in Junior high and hearing someone speak about it, and to think kids these days will never get that.  Thankfully, there are museums for people to attend to hear and get closer to what truly happened back then.	sadness	2.0	6.0	1.0	32.0	50000.0	6.0	5.0	1.5	5.0	5.0	3.571	3.143	3.286	4.143	0	1	0	0	0	0	0	0	83	74	0.1818181818181818	0.0909090909090909	0.0909090909090909	0.0909090909090909	0.0	0.0909090909090909	0.1818181818181818	0.0909090909090909	0.0909090909090909	0.0909090909090909	0.0	3.0713105871652693	2.773428339776415	medium	medium	An essay written by a 32.0 years old white female, with a four year bachelor's degree, with an income of 50000.0$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay are: fear.							0
