message_id	response_id	article_id	empathy	distress	empathy_bin	distress_bin	essay	emotion	gender	education	race	age	income	personality_conscientiousness	personality_openess	personality_extraversion	personality_agreeableness	personality_stability	iri_perspective_taking	iri_personal_distress	iri_fantasy	iri_empathatic_concern	essay_word_count	essay_id	fear_count	anger_count	anticipation_count	trust_count	surprise_count	positive_count	negative_count	sadness_count	disgust_count	joy_count	hope_count	empathy_count	distress_count	empathy_level	distress_level	prompt_bio	prompt_emp	prompt_emo
R_8joL7gIQVWifia5_1	R_8joL7gIQVWifia5	51	3.0	1.375	0	0	This is sad that a company that is based here in the US and that actually manafucters its products in the US is in debt. More effort should have been placed to ensure company's success. More companies should be encouraged to manufacture their products in our country while also making them affordable and appealing.	sadness	1	4	1	37	72000	7.0	7.0	4.5	7.0	7.0	4.2860000000000005	1.286	4.2860000000000005	4.857	54	0	0.0	0.0	0.16666666666666666	0.0	0.0	0.3333333333333333	0.16666666666666666	0.16666666666666666	0.0	0.16666666666666666	0.0	2.8230497805783212	2.7487222570305145	medium	low	An essay about the article 51, written by a 37 years old white male, went to college, with an income of 72000$.	The essay expresses medium empathy and low distress levels.	 The top emotions expressed in the essay, according to the NRC lexicon, are: sadness, joy.
R_11d2f4aGBETtClb_1	R_11d2f4aGBETtClb	51	2.0	1.0	0	0	Looks like American Apparel is at it again and declaring bankruptcy.  Ironically they are getting bought out by a Canadian company.  I feel sorry for the employees, but its hard to feel sorry for the company since they just dont seem to get it.  I think one chance is fair, but when you have to declare bankruptcy again a year later your management doesnt seem to know what they are doing.  Maybe the company that bought them will finally get it right.	sadness	1	6	1	48	50000	7.0	7.0	7.0	4.0	7.0	3.857	1.0	4.857	4.143	82	1	0.1	0.1	0.05	0.1	0.1	0.15	0.1	0.1	0.15	0.05	0.1	2.9546518242991024	2.715416216493563	medium	medium	An essay about the article 51, written by a 48 years old white male, with a four year bachelor's degree, with an income of 50000$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay, according to the NRC lexicon, are: disgust.
R_d68YNA5f4FYJPbP_1	R_d68YNA5f4FYJPbP	25	3.167	4.25	0	1	Wow, I feel really bad for the parishioners of the church that got burned down. At least nobody was injured. On the one hand, it's crazy that people would do this, but on the other hand, I'm not exactly surprised. Trump has been inciting racial hatred and tearing down standards of decent behaviour since before the beginning of his campaign. Let's hope he loses in November and we can file this away as a disgraceful moment in American history, nothing more.	sadness	2	6	5	28	65000	6.0	7.0	3.0	3.0	3.5	2.714	3.0	3.714	3.143	81	2	0.12903225806451613	0.12903225806451613	0.06451612903225806	0.06451612903225806	0.06451612903225806	0.0967741935483871	0.16129032258064516	0.12903225806451613	0.0967741935483871	0.06451612903225806	0.08333333333333333	2.549302409396982	2.5297835030892735	low	low	An essay about the article 25, written by a 28 years old asian/pacific islander female, with a four year bachelor's degree, with an income of 65000$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay, according to the NRC lexicon, are: anger, sadness.
R_CaD7yFl7q5MrzCp_1	R_CaD7yFl7q5MrzCp	11	4.5	5.375	1	1	There has been unrest over the disputed region of Kshmir between Packistan and India. It looks as though there were 13 civilians killed during this latest skirmish. It's pathetic to see so many innocent people being killed for no reason over this disputed land. Already there have been two wars fought between these two countries. I hope they can reach a peaceful settlemnt but since this has been ongoing for over 70 years I highly doubt that this will actually happen.	sadness	1	6	1	44	14500	6.5	7.0	6.5	2.5	4.5	3.429	1.429	3.714	3.143	81	3	0.07407407407407407	0.037037037037037035	0.14814814814814814	0.14814814814814814	0.07407407407407407	0.18518518518518517	0.1111111111111111	0.1111111111111111	0.037037037037037035	0.07407407407407407	0.16666666666666666	2.8369343032539476	2.827755035577317	medium	medium	An essay about the article 11, written by a 44 years old white male, with a four year bachelor's degree, with an income of 14500$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay, according to the NRC lexicon, are: hope.
R_SIrozm9BIGdNzu9_2	R_SIrozm9BIGdNzu9	141	6.0	6.0	1	1	Friends and family, this is another tragic incident.  This involves a troubled boy who was literally body slammed by a teacher.  He then was rushed to the hospital but they could not do much for him even through all of their best efforts.  In the end he had to have his leg removed.  This is tragic and we should seek justice for this child!	sadness	1	6	1	34	50000	6.0	6.0	6.0	6.0	6.0	4.0	2.0	3.857	4.0	64	4	0.0625	0.0	0.125	0.1875	0.0625	0.1875	0.1875	0.0625	0.0625	0.0625	0.0	3.0077207804009936	3.0959954930397364	medium	medium	An essay about the article 141, written by a 34 years old white male, with a four year bachelor's degree, with an income of 50000$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay, according to the NRC lexicon, are: surprise, sadness, disgust, joy.
R_1pVyQvn9g9UEEmm_4	R_1pVyQvn9g9UEEmm	307	2.5	3.875	0	0	Dear friend,  I have just finished reading a very interesting and somewhat disturbing article. It was about Thomas Arthur, an inmate on death row in Alabama. There began a massive legal battle between the courts, justices, and lawyers about the legality and morality of lethal injection practices. I feel conflicted because on one hand, these people committed unthinkable crimes and deserve severe punishment, but on the other hand, taking a life may still not be justifiable.	sadness	1	2	5	29	26000	4.0	6.0	4.0	5.5	6.0	3.429	3.286	3.571	2.286	76	5	0.13636363636363635	0.13636363636363635	0.045454545454545456	0.13636363636363635	0.022727272727272728	0.18181818181818182	0.1590909090909091	0.045454545454545456	0.11363636363636363	0.022727272727272728	0.05555555555555555	2.8295488007595484	2.8263175392595756	medium	low	An essay about the article 307, written by a 29 years old asian/pacific islander male, with a high school diploma, with an income of 26000$.	The essay expresses medium empathy and low distress levels.	 The top emotions expressed in the essay, according to the NRC lexicon, are: anger.
R_1DAmmWVuxekOzQt_2	R_1DAmmWVuxekOzQt	120	3.0	5.5	0	1	Ugh. That's rough. I feel so bad for that little girl and she deserves to live in a world where justice is made, but that eye-for-an-eye type justice is so medieval. The guy obviously deserves a very harsh punishment, but this is barbaric. This is the difference between revenge and justice. A 20-year prison sentence makes so much more sense than blinding.	sadness	1	6	1	44	49000	5.5	5.5	1.0	4.5	2.5	4.143	3.857	3.571	4.2860000000000005	62	6	0.17142857142857143	0.17142857142857143	0.05714285714285714	0.08571428571428572	0.02857142857142857	0.11428571428571428	0.17142857142857143	0.08571428571428572	0.11428571428571428	0.0	0.0	2.8016128321922493	2.761935346178517	medium	medium	An essay about the article 120, written by a 44 years old white male, with a four year bachelor's degree, with an income of 49000$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay, according to the NRC lexicon, are: anger.
R_2woWYw6rHTgQXfH_3	R_2woWYw6rHTgQXfH	228	5.0	4.25	1	1	Hello Alexander, oh how I need to tell you this story I read, its crazy you know.  Anyway so I read this story about Myanmarl; they are having a huge investigation about child slavery, its very sad we live in a world that is filled with monsters like this.  The goods news about this is that the police arrested two family members.  I feel good about that coming out.  I hope they find more and put them into justice.	sadness	1	5	2	39	49000	7.0	6.5	3.5	6.5	6.0	5.0	2.4290000000000003	4.2860000000000005	5.0	79	7	0.1	0.06666666666666667	0.16666666666666666	0.13333333333333333	0.06666666666666667	0.2	0.06666666666666667	0.06666666666666667	0.03333333333333333	0.1	0.11764705882352941	3.032500872760491	2.925442919963925	medium	medium	An essay about the article 228, written by a 39 years old hispanic or latino male, with a two year associate degree, with an income of 49000$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay, according to the NRC lexicon, are: hope.
R_2aOFGSQ3Y7fEc0P_2	R_2aOFGSQ3Y7fEc0P	166	5.332999999999999	2.375	1	0	This was a tough article to read because if you put yourself in that place, and you think of yourself losing a friend that is very close to you or a family friend. I know that whenever I think about not having someone that has been close to me I wonder how I would feel or react. I don't think that we let people know how we feel enough.	sadness	1	6	1	40	125000	6.5	6.0	6.5	7.0	7.0	3.857	1.429	2.4290000000000003	3.143	69	8	0.07692307692307693	0.15384615384615385	0.0	0.15384615384615385	0.0	0.15384615384615385	0.15384615384615385	0.15384615384615385	0.0	0.15384615384615385	0.0	2.913687032225693	2.7883238685831317	low	low	An essay about the article 166, written by a 40 years old white male, with a four year bachelor's degree, with an income of 125000$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay, according to the NRC lexicon, are: anger, sadness, joy.
R_3ho2mL7zaMK1xSh_3	R_3ho2mL7zaMK1xSh	247	3.0	6.5	0	1	France has been through a lot of crap lately.  Some terrorists stormed a newspaper office and killed some people; their have been bombings at the airports and train stations; and a little girl was among 90 killed during a concert at one of their local venues.  As sad as this all is, the most distressing thing is that the country has decided to activate additional measures to ensure their democracy is maintained.  This always seems to be the case during a time of great terror and unrest- most of which are incited by officials working within the government itself.	sadness	1	5	1	47	32000	4.0	4.0	3.5	3.0	2.5	2.143	3.286	2.4290000000000003	2.0	99	9	0.29411764705882354	0.058823529411764705	0.058823529411764705	0.0	0.0	0.11764705882352941	0.29411764705882354	0.11764705882352941	0.058823529411764705	0.0	0.0	3.088549344007163	3.02763123868083	medium	low	An essay about the article 247, written by a 47 years old white male, with a two year associate degree, with an income of 32000$.	The essay expresses medium empathy and low distress levels.	 The top emotions expressed in the essay, according to the NRC lexicon, are: fear.
