empathy	distress	essay	emotion	gender	education	race	age	income	personality_conscientiousness	personality_openess	personality_extraversion	personality_agreeableness	personality_stability	iri_perspective_taking	iri_personal_distress	iri_fantasy	iri_empathatic_concern	fear	sadness	disgust	surprise	anger	neutral	hope	joy	essay_word_count	essay_id	fear_count	anger_count	anticip_count	trust_count	surprise_count	positive_count	negative_count	sadness_count	disgust_count	joy_count	hope_count	empathy_count	distress_count	essay+prompt	prompt	conversation_id	article_id	speaker_id	speaker_number	split
5.667000000000001	4.375	it is really diheartening to read about these immigrants from this article who drowned.  it makes me feel anxious and upset how the whole ordeal happened.  it is a terrible occurrence that this had to happen at the mediterranean sea.  thankfully there were some survivors.  the fact that babies were lost makes it that much more emotional to read all of this	sadness	1.0	4.0	1.0	33.0	50000.0	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	62	0	0.125	0.125	0.0	0.075	0.025	0.1	0.2	0.125	0.1	0.075	0.0	2.8688979199603573	2.9872844590180896	it is really diheartening to read about these immigrants from this article who drowned.  it makes me feel anxious and upset how the whole ordeal happened.  it is a terrible occurrence that this had to happen at the mediterranean sea.  thankfully there were some survivors.  the fact that babies were lost makes it that much more emotional to read all of this'An essay written by a 33.0 years old white male, went to college, with an income of 50000.0$.The essay expresses high empathy and medium distress levels. The top emotions expressed in the essay are: negative.'	An essay written by a 33.0 years old white male, went to college, with an income of 50000.0$.The essay expresses high empathy and medium distress levels. The top emotions expressed in the essay are: negative.					
4.833	4.875	the phone lines from the suicide prevention line surged after the election.  it also climbed when robin williams committed suciide.  thankfully there is this prevention line to help those in need who have sucidal thoughts but we need to condition people that committing sucide is a permanent solution to a temporary problem	sadness	1.0	4.0	1.0	33.0	50000.0	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	52	1	0.125	0.125	0.0	0.075	0.025	0.1	0.2	0.125	0.1	0.075	0.0	2.8688979199603573	2.9872844590180896	the phone lines from the suicide prevention line surged after the election.  it also climbed when robin williams committed suciide.  thankfully there is this prevention line to help those in need who have sucidal thoughts but we need to condition people that committing sucide is a permanent solution to a temporary problem'An essay written by a 33.0 years old white male, went to college, with an income of 50000.0$.The essay expresses medium empathy and medium distress levels. The top emotions expressed in the essay are: positive.'	An essay written by a 33.0 years old white male, went to college, with an income of 50000.0$.The essay expresses medium empathy and medium distress levels. The top emotions expressed in the essay are: positive.					
5.332999999999999	3.5	no matter what your heritage, you should be able to serve your country.  her thai heritage shouldn't preclude her and shouldn't have been an issue in this debate.  tammy duckworth and her family should be congratulated on the services they have provided to this country.  any type of racism should not be allowed in a debate	neutral	1.0	4.0	1.0	33.0	50000.0	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	56	2	0.125	0.125	0.0	0.075	0.025	0.1	0.2	0.125	0.1	0.075	0.0	2.8688979199603573	2.9872844590180896	no matter what your heritage, you should be able to serve your country.  her thai heritage shouldn't preclude her and shouldn't have been an issue in this debate.  tammy duckworth and her family should be congratulated on the services they have provided to this country.  any type of racism should not be allowed in a debate'An essay written by a 33.0 years old white male, went to college, with an income of 50000.0$.The essay expresses high empathy and medium distress levels. The top emotions expressed in the essay are: trust.'	An essay written by a 33.0 years old white male, went to college, with an income of 50000.0$.The essay expresses high empathy and medium distress levels. The top emotions expressed in the essay are: trust.					
4.167	5.25	it is frightening to learn about all these shark attacks but these surfers should be aware of the risks associated with the sport.  relocating the sharks should be a priority and it would be in the best interest to establish a moratorium on water sports until the shark epidemic is dealt with.  closing beach in australia is a good precautionary method	fear	1.0	4.0	1.0	33.0	50000.0	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61	3	0.125	0.125	0.0	0.075	0.025	0.1	0.2	0.125	0.1	0.075	0.0	2.8688979199603573	2.9872844590180896	it is frightening to learn about all these shark attacks but these surfers should be aware of the risks associated with the sport.  relocating the sharks should be a priority and it would be in the best interest to establish a moratorium on water sports until the shark epidemic is dealt with.  closing beach in australia is a good precautionary method'An essay written by a 33.0 years old white male, went to college, with an income of 50000.0$.The essay expresses medium empathy and high distress levels. The top emotions expressed in the essay are: positive, negative.'	An essay written by a 33.0 years old white male, went to college, with an income of 50000.0$.The essay expresses medium empathy and high distress levels. The top emotions expressed in the essay are: positive, negative.					
5.332999999999999	4.625	the eldest generation of russians aren't being treated properly and should have some sort of financial compensation.  they are living off very little per day financially and live in poor conditions.  after paying utilities, they barely have enough for food.  health care has also taken a turn for the worse because they can't afford to get proper health treatment due to the costs involved	sadness	1.0	4.0	1.0	33.0	50000.0	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	64	4	0.125	0.125	0.0	0.075	0.025	0.1	0.2	0.125	0.1	0.075	0.0	2.8688979199603573	2.9872844590180896	the eldest generation of russians aren't being treated properly and should have some sort of financial compensation.  they are living off very little per day financially and live in poor conditions.  after paying utilities, they barely have enough for food.  health care has also taken a turn for the worse because they can't afford to get proper health treatment due to the costs involved'An essay written by a 33.0 years old white male, went to college, with an income of 50000.0$.The essay expresses high empathy and medium distress levels. The top emotions expressed in the essay are: positive.'	An essay written by a 33.0 years old white male, went to college, with an income of 50000.0$.The essay expresses high empathy and medium distress levels. The top emotions expressed in the essay are: positive.					
2.333	3.125	middle east is fucked up, I've honestly never heard of a middle east country such as Afganistan deporting people, the mention of it just sound funny, who the heck would want to stay in that shit hole country that has been infested with terrorists and child rapists? Perhaps those refugees are out of choice, honestly they should come to a better country such as U.S. or U.K, even though those 2 countries have their own policies regarding immigration, but I think they're quite tolerate to people from war torn countries	anger	1.0	6.0	5.0	24.0	45000.0	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	90	5	0.125	0.125	0.0	0.075	0.025	0.1	0.2	0.125	0.1	0.075	0.0	2.8688979199603573	2.9872844590180896	middle east is fucked up, I've honestly never heard of a middle east country such as Afganistan deporting people, the mention of it just sound funny, who the heck would want to stay in that shit hole country that has been infested with terrorists and child rapists? Perhaps those refugees are out of choice, honestly they should come to a better country such as U.S. or U.K, even though those 2 countries have their own policies regarding immigration, but I think they're quite tolerate to people from war torn countries'An essay written by a 24.0 years old asian/pacific islander male, with a four year bachelor's degree, with an income of 45000.0$.The essay expresses low empathy and medium distress levels. The top emotions expressed in the essay are: negative.'	An essay written by a 24.0 years old asian/pacific islander male, with a four year bachelor's degree, with an income of 45000.0$.The essay expresses low empathy and medium distress levels. The top emotions expressed in the essay are: negative.					
2.167	2.875	well first of all whoever wrote this article doesn't know how to properly divide an article into paragraphs, which made reading this article extremely painful, but nonetheless I do know after reading the article that Zika virus tend to stay in semen and vaginal fluid for extended amount of time, so it's obvious don't mate with people who have zika virus, and don't even think about having a baby, they're going to be defective	anger	1.0	6.0	5.0	24.0	45000.0	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	74	6	0.125	0.125	0.0	0.075	0.025	0.1	0.2	0.125	0.1	0.075	0.0	2.8688979199603573	2.9872844590180896	well first of all whoever wrote this article doesn't know how to properly divide an article into paragraphs, which made reading this article extremely painful, but nonetheless I do know after reading the article that Zika virus tend to stay in semen and vaginal fluid for extended amount of time, so it's obvious don't mate with people who have zika virus, and don't even think about having a baby, they're going to be defective'An essay written by a 24.0 years old asian/pacific islander male, with a four year bachelor's degree, with an income of 45000.0$.The essay expresses low empathy and low distress levels. The top emotions expressed in the essay are: positive.'	An essay written by a 24.0 years old asian/pacific islander male, with a four year bachelor's degree, with an income of 45000.0$.The essay expresses low empathy and low distress levels. The top emotions expressed in the essay are: positive.					
3.833	4.25	well well well, look at what we have well, the arrogant Kim Kardashian finally got what she deserves: being robbed for millions, the thought of it is bitter, considering it's a robbery after all, but think the other way, a rich superfluous gal as Kim, broadcasting her belongings on social media, I guess she brought this upon herself	disgust	1.0	6.0	5.0	24.0	45000.0	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	58	7	0.125	0.125	0.0	0.075	0.025	0.1	0.2	0.125	0.1	0.075	0.0	2.8688979199603573	2.9872844590180896	well well well, look at what we have well, the arrogant Kim Kardashian finally got what she deserves: being robbed for millions, the thought of it is bitter, considering it's a robbery after all, but think the other way, a rich superfluous gal as Kim, broadcasting her belongings on social media, I guess she brought this upon herself'An essay written by a 24.0 years old asian/pacific islander male, with a four year bachelor's degree, with an income of 45000.0$.The essay expresses medium empathy and medium distress levels. The top emotions expressed in the essay are: negative, disgust.'	An essay written by a 24.0 years old asian/pacific islander male, with a four year bachelor's degree, with an income of 45000.0$.The essay expresses medium empathy and medium distress levels. The top emotions expressed in the essay are: negative, disgust.					
3.167	3.375	just another fucked up mental sickness of american police against its black residents, I honestly have no idea why they have to be so sensitive with their fucking guns, they shoot people as if people can respawn after being shot or something, police should think twice before taking out people's lives with no legitimate reason, I guess it's good that police have body cam, so the public can see what shame they are brining upon themselves	anger	1.0	6.0	5.0	24.0	45000.0	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	76	8	0.125	0.125	0.0	0.075	0.025	0.1	0.2	0.125	0.1	0.075	0.0	2.8688979199603573	2.9872844590180896	just another fucked up mental sickness of american police against its black residents, I honestly have no idea why they have to be so sensitive with their fucking guns, they shoot people as if people can respawn after being shot or something, police should think twice before taking out people's lives with no legitimate reason, I guess it's good that police have body cam, so the public can see what shame they are brining upon themselves'An essay written by a 24.0 years old asian/pacific islander male, with a four year bachelor's degree, with an income of 45000.0$.The essay expresses medium empathy and medium distress levels. The top emotions expressed in the essay are: fear.'	An essay written by a 24.0 years old asian/pacific islander male, with a four year bachelor's degree, with an income of 45000.0$.The essay expresses medium empathy and medium distress levels. The top emotions expressed in the essay are: fear.					
2.5	3.125	it seems a horny male college student has finally taken up the courage not to pursue love, but to rape his potential lover, what a disgusting act and moral corruption, the amount of emotional trauma done to the female victim is permanent and she would never feel safe again, I hope he gets to sentence to jail long enough he thought through	disgust	1.0	6.0	5.0	24.0	45000.0	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	62	9	0.125	0.125	0.0	0.075	0.025	0.1	0.2	0.125	0.1	0.075	0.0	2.8688979199603573	2.9872844590180896	it seems a horny male college student has finally taken up the courage not to pursue love, but to rape his potential lover, what a disgusting act and moral corruption, the amount of emotional trauma done to the female victim is permanent and she would never feel safe again, I hope he gets to sentence to jail long enough he thought through'An essay written by a 24.0 years old asian/pacific islander male, with a four year bachelor's degree, with an income of 45000.0$.The essay expresses low empathy and medium distress levels. The top emotions expressed in the essay are: positive.'	An essay written by a 24.0 years old asian/pacific islander male, with a four year bachelor's degree, with an income of 45000.0$.The essay expresses low empathy and medium distress levels. The top emotions expressed in the essay are: positive.					
