essay	emotion
Ashton Levry I get what you're saying but at the same time why should they defend people that we say all lives matter if we're all created equal shouldn't there be all right for us to say all lives matter because honestly I think we do matter we all matter but even if you're what you're saying is true then it shouldn't hurt your feelings that we say all lives matter no offense	hope
It wasn’t erected as a symbol of slavery... it wasn’t a symbol of racial profiling... it was erected as historical significance for what he did to help build in the city... on the basis of your argument you’d have idiots destroying 90% of all historical buildings and monuments in the uk. Protest peacefully not ok to go around defacing property as a mass mob. Abide by the law or face the consequences....stupid sheeple committing crimes... an eye for an eye is not acceptable... democracy and justice is...	hope
I am abhorred by what happened to George Floyd.  I am white and I am not a racist.  But it is clear that racists have usurped this movement.  They are racists against freedom and against our constitutional liberties.   These racists want to destroy everything that has been gained for blacks and for whites in this country.  They want to bring tyranny and oppression giving control to the Democratic Left who have oppressed so many for so long.  Stand up America!!  And stop them now!	hope
A kind gentle man has to endure torture because he just prefers his own gender. Whatever sexual acts he does at least 90% of heterosexual women do for their partners also. Why is it so terrible. What is wrong with religious people to condemn something that is neither bad or unnatural. The profess to be the religion of love yet are so hateful and intolerant.	hope
You can't change the world with hate you just make hate  and you can't change people without showing a changing in yourself if someone going stay corrupted  the rest of the world ain't going to change for you and some people and going to change you just got to be happy in your life amongst a world full of haters	hope
Now for premise I am not American and I don't get the whole context and details of this issue but according to my research (meaning stats some from the FBI) black lives are disproportionately hurt by police brutality compared to other races	hope
The fact is that racism points fingers in All directions. There are both good and bad people of all cultures and nationalities. To say ALL LIVES MATTER does NOT exclude African Americans. It would be a constructive peaceful way of bringing us ALL as equals. Now ALL LIVES MATTER would promote putting an end to racism once and for all.	hope
This is so inspiring!  MD/ PhD in engineering is my end goal! I have too many ideas and realized I need engineering training to do the research.  My brother is a petroleum engineer. I'm at community college starting my journey to wherever school I end up! My credits in Psychology I have 119 but too old to transfer but working in psychiatric field and mental health has given me the vision I have now	hope
All lives matter ! why is Black live matter ? Why is White live matter ? Why is Yellow live matter ? All lives matter ! But do what you think its right ! Never ever mistaken between Criminals and  Heroes !	hope
Like this comment to support nBlack lives matter!  nWe will and should live as equals we look different but we should be treaded the same black or white boy or girl we are all humans so protest fo what is right or you can fall and be stone hearted for as long as you live and remember god made us all as equals.	hope
Jessica Walker I think most people don’t even know what you are trying to argue about. I agree with you. Most people may or may not like homosexuals but it’s just an opinion it’s really not like they hate them. I personally don’t support homosexuality but I also don’t hate them. I just don’t support them in general. I do have one friend who is bi but I don’t really mind that he’s bi just as long as he  doesn’t act “odd” around me. Also	hope
I know  there is some sexism in the workforce and there is no doubt about that. But the thing that i hate is that these people are basically saying with all these stupid percentages that men need to change and help women into engineering and men are the problem that there aren't really any women in that field. And that is completely wrong the main reason that there aren't any women in engineering is because women just don't choose to go into that line of work. it's as simple as that.	hope
Bisexual Unicorn here and I absolutely love this video. These kids were so darling. I feel bad for this poor man though. Why can't people stop pushing their beliefs on others? Religious people want to say that we as LGBTQ+ individuals are doing that to them but we're just being who we truly are. If anything	hope
It’s racist to say black lives matter it’s correct to say all lives matter nBlack people are not the only race that has poverty what about all other races if you are a minority you get free stuff like government assistance free school opportunities if you are Caucasian and poor to bad there’s no help for you maybe we should take a look at that	hope
So I like boys like sexually. Like I would marry a boy. But I kinda like girls romantically. And I'm not against romantic feelings towards the same gender. Now sexually I don't support it but I will be there for anyone who is. I support people not for what they do but for their spirit and compassion towards everyone. Pls don't come at me	hope
stop forcing people to forcefully study engineeringnengineering is made for humans nif a girls want to study engineering she willnif she wants to study something other than engineering she willnIts totally her choice.nnnnnA person should only study something in which he/she is interested in and thus can excel in that field only.	hope
There are lgbtq persons who do bad things. Thats a given. But that shouldnt be the license to hate everybody else in the lgbtq sphere cause a lot of us are nice and righteous. Generalizing is what needs to go. Ps	hope
Yo for real why do all of you guys care so much about what her sexuality is gonna be? Because she has short hair and wears cuff jeans?  A lot of people wear cuff jeans and have short hair that aren't LGBT+. I'm okay if she does become LGBT+	hope
when i was young i always took my brothers legos and cars and built things i hated barbie dolls. I never have felt like the other girls i am really considering engineering. I always threw the dolls and such away i think im finally realizing this field exists. Thanks to women like you.	hope
I have always been an artiest and a writer i never wanted to be an engineer nAnd here i'm an engineer student it's my first year in college and yes i always feel this is not my place i always fail nBut this video made me so hopefull nI see myself in this video 10 years from now	hope
im glad they got a male perspective to balance the discussion... dafuq. you know how much easier it is to get a job as a woman. they want to hire 50% women when theyre 20% of grads. how is that equal for a generation thats been taught woman can do anything as good as men. it should be about ability not genitals. i totally agree on that point.	hope
I lost most all except one of my friends after coming out as bisexual. I’m lucky my family is so accepting. My sister is bisexual as well. The only hard part is my grandparents on my fathers side. We meet up every year for a few days. My older cousins bring their girlfriends and every year at the end of the visit my grandparents say to me “Someday you will bring your boyfriend to be with us. We can’t wait to meet him when you get one”. It’s so awful	hope
Whatever happened to Coronavirus? Remember how governments and the elites told us to stay at home and not gather in large groups because of this Deadly Virus. Now the same Elites are supporting this large groups of people gathering and some don’t even speak out against This. nHypocrisy.	hope
A lot of our children are addicted. Meth floods the streets the dealers give it out for free like candy too get addiction started plus they dust fentanyl on pot sales to get them addicted this is driving crime. We need help all of us! We have to get drugs off the street and get help to addicts. Please let's work together!	hope
All lives do matter yes right now most of the hate right now is between multicolor multicultural differences right now its sad to have this hate towards one another im sorry but I believe all lives matter don't matter what color what gender or religion or sexual orientation now we can not ignore this hateful racism acts and violence we are humans we all have blood flowing through our veins.	hope
+Lexus Fox Women in western countries don't choose to go into those fields because of  lack of interest and that is due to cultural reasons.In third world countries (I live in one) engineering is not a predominantly male field.In fact I didn't know it was in the western world until I watched this video and read some stats on it.	hope
When I was young I was given dolls and kitchen/cooking toys but I was more interested in creating my own miniature houses out of cardboard boxes. With it I had the option to put what I want in my houses/structures. It was much more fun to be able to create something.nnI also loved drawing and started it young but then I thought my drawings were different than my classmates' and I was too shy for anything so I had to match my drawings to the theirs because I was too scared to be bullied again... I was bullied sometimes. I was scared to be good at what I do because I would grab attention if did.nIt just made me put away my interests as if these were not a big deal and I grew up thinking I do not deserve to shine and beyter just be in the shadows and live a passive life.nI regret it.	hope
