conversation_id	turn_id	text	EmotionalPolarity	Emotion	Empathy	speaker_number	article_id	speaker_id	essay_id
2	0	I feel very sad for the people.	2.0	3.0	3.3333	1	35.0	30.0	1.0
2	1	It's terrible. Not only the people but the animals as well!	2.0	4.0	3.3333	2	35.0	17.0	501.0
2	10	I felt really sorry for the sister that now has to rise her siblings.	2.0	3.6667	2.6667	1	35.0	30.0	1.0
2	11	Yeah, it's going to be tough but i am sure she is strong enough to raise them.	0.6667	3.0	2.0	2	35.0	17.0	501.0
2	12	Yeah, we never know what we can do unless we are tested.	0.3333	2.3333	1.3333	1	35.0	30.0	1.0
2	13	True. Have you been in ANY kind of natural disasters?	1.0	1.3333	0.3333	2	35.0	17.0	501.0
2	14	Tornado when I was young. They suck too.	2.0	2.0	1.6667	1	35.0	30.0	1.0
2	15	Never been in one but i can only imagine it's even scarier than a hurricane	1.6667	2.3333	1.6667	2	35.0	17.0	501.0
2	16	The power of nature is truly scary.	1.6667	3.3333	1.3333	1	35.0	30.0	1.0
2	17	Agree. I hope those people get some water and food as soon as possible	1.0	2.6667	3.6667	2	35.0	17.0	501.0
2	18	Me too, I wish there was a direct way to aid the people.	1.0	2.6667	3.6667	1	35.0	30.0	1.0
2	19	Yup! Well it was nice talking to you! bye	0.3333	2.0	0.3333	2	35.0	17.0	501.0
2	2	Yeah, the whole situation is horrible.	2.0	3.6667	3.6667	1	35.0	30.0	1.0
2	20	You too! bye	0.3333	2.0	0.3333	1	35.0	30.0	1.0
2	3	I really wish there was something i could do.	1.3333	3.6667	3.6667	2	35.0	17.0	501.0
2	4	I know we can donate, but it's hard to know exactly how the money is used.	1.6667	3.0	2.3333	1	35.0	30.0	1.0
2	5	I agree. Have you ever been in a hurricane?	1.0	2.0	0.3333	2	35.0	17.0	501.0
2	6	No, and You?	1.3333	1.0	0.3333	1	35.0	30.0	1.0
2	7	Yes! It's actually terrifying. We were supposed to evacuate but decided to stay because we thought , what's the worst that can happen?	2.0	4.3333	0.3333	2	35.0	17.0	501.0
2	8	Sorry to hear that, I'm glad that you are okay!	0.3333	3.0	0.3333	1	35.0	30.0	1.0
2	9	Thank you! I'm glad that we still had water and electricity. I can't even imagine what the people over in Haiti are going through	1.0	3.0	3.0	2	35.0	17.0	501.0
3	0	what did you think about the article	1.0	0.6667	0.3333	1	35.0	19.0	2.0
3	1	It was such an eye opener about the suffering that happens that you never hear about	1.6667	3.3333	4.0	2	35.0	16.0	502.0
3	10	what do you think can be done to help the people in haiti	0.6667	2.3333	1.0	1	35.0	19.0	2.0
3	11	I think they should do a telethon get a bunch of celebrities and make a hashtag. encourage people to donate and volunteer	0.3333	2.0	3.0	2	35.0	16.0	502.0
3	12	makes sense. also find better ways rather than trucks that are easily looted by the people	0.6667	2.6667	3.0	1	35.0	19.0	2.0
3	13	ahh so true!also insure that when you say there is enough for everyone that there actually is.	1.3333	2.6667	2.3333	2	35.0	16.0	502.0
3	14	and also not let the haitian govt get there hands on any of it they are corrupt	1.3333	2.6667	2.6667	1	35.0	19.0	2.0
3	15	America should dethrone the government and make it the 51st state	1.3333	3.0	2.6667	2	35.0	16.0	502.0
3	16	thats a great idea	0.3333	2.3333	1.0	1	35.0	19.0	2.0
3	17	hopefully these people get the help they need i am going to look into it after this	0.6667	2.0	3.3333	2	35.0	16.0	502.0
3	18	me too very interested in the outcome	0.6667	2.3333	2.3333	1	35.0	19.0	2.0
3	19	so crazy the suffering that is going on that we have no idea about	2.0	3.3333	3.6667	2	35.0	16.0	502.0
3	2	its crazy the stuff that goes on in this world	1.3333	4.0	3.3333	1	35.0	19.0	2.0
3	20	were lucky to live here	0.0	2.3333	1.6667	1	35.0	19.0	2.0
3	21	i agree makes my troubles seem so small	0.0	3.3333	2.3333	2	35.0	16.0	502.0
3	22	yeah makes u realize your problems are miniscule in comparison	0.0	3.0	2.6667	1	35.0	19.0	2.0
3	23	i agree. it was so nice chatting with you. goodbye	0.0	1.6667	0.6667	2	35.0	16.0	502.0
3	24	bye	1.0	1.0	0.3333	1	35.0	19.0	2.0
3	3	right i can't believe it. If that was the US they would be set up to avoid fsilure	1.6667	3.0	3.0	2	35.0	16.0	502.0
3	4	yeah some countries are so corrupt though	2.0	3.3333	3.0	1	35.0	19.0	2.0
3	5	true, i heard in puerto rico they did not even distrubute the hurricane supplies the US gave them	2.0	3.6667	3.0	2	35.0	16.0	502.0
3	6	i remember  trump throwing toilet paper rolls at the crowd in puerto rico that was so embarrasing	2.0	3.3333	2.0	1	35.0	19.0	2.0
3	7	o wow that is very embarrassing and degrading	2.0	4.0	2.6667	2	35.0	16.0	502.0
3	8	yeah wonder what was going through is head	1.3333	2.3333	2.3333	1	35.0	19.0	2.0
3	9	probably a power trip or an i'm better than you moment	1.6667	3.3333	1.6667	2	35.0	16.0	502.0
5	0	Please, what did you think about the article	1.0	1.0	1.0	1	35.0	17.0	4.0
5	1	It's very sad.   I can't believe in the 21st century that people are still so slow in helping third world countries or even in the US when New Orleans was destroyed.   It makes no sense.	2.0	3.6667	3.3333	2	35.0	8.0	504.0
5	10	It's scary because all you can do is hide in your home hoping it passes by without doing much damage. I hope the people affected by the hurricane are getting help right now.	2.0	3.6667	3.3333	1	35.0	17.0	4.0
5	11	I follow college basketball like a crazy person.   Skal Labiesse was trapped in the hurricane in this article.   His whole home collapsed on him and he was covered with rock and materials for three days.   His story is so frightening.   He thought he was dying	1.6667	4.3333	3.3333	2	35.0	8.0	504.0
5	12	Yeah it's definitely very different. The air pressure feels different when you're in a hurricane. All you hear are sounds of things ripping apart ourside	1.6667	2.3333	2.3333	1	35.0	17.0	4.0
5	13	Wow.   Are you on the gulf or the Atlantic?	1.0	2.3333	0.6667	2	35.0	8.0	504.0
5	14	Atlantic, i've lived in Florida for about 8 years now and luckyily haven't had any MAJOR hurricane yet.	1.0	2.0	0.6667	1	35.0	17.0	4.0
5	15	That's good to hear.   Haiti has such a corrupt government - I wonder how much their President stole from the people so he had fun for a long time.	1.3333	2.6667	2.3333	2	35.0	8.0	504.0
5	16	I didn't think of that. That's why i don't even donate but i feel bad because i can't help	1.6667	2.3333	3.3333	1	35.0	17.0	4.0
5	17	It's gotten to that point everywhere unless a church is doing all the work.   American Cancer Society, March of Dimes, United Way - hardly any goes to the people or cause you are donating to - it's all taken in outlandish salaries of that charity	2.0	3.0	1.6667	2	35.0	8.0	504.0
5	18	Sad that people are so corrupt. I really hope those people get help. It was nice talking to you! bye!	2.0	2.6667	2.3333	1	35.0	17.0	4.0
5	19	You too goodbye	1.0	1.0	0.3333	2	35.0	8.0	504.0
5	2	It's terrible. I feel bad for all the people left without shelter!	2.0	4.0	4.3333	1	35.0	17.0	4.0
5	3	And food - you can get by in Haiti without much shelter but one must have clean water and food to live	1.6667	3.0	3.3333	2	35.0	8.0	504.0
5	4	Agree. Have you ever been in a hurricane?	1.0	1.6667	1.3333	1	35.0	17.0	4.0
5	5	I have not but I have been to Haiti on a mission trip.   Such wonderful kind people.	0.3333	3.3333	3.3333	2	35.0	8.0	504.0
5	6	Wow, Haiti sounds awesome. I'm from Florida so there's lots of them here and they are all nice.	0.3333	3.0	2.0	1	35.0	17.0	4.0
5	7	That would be so much stress.   I live in Colorado so just beautiful white snow.	1.0	2.3333	1.0	2	35.0	8.0	504.0
5	8	It's pretty stressful when hurricanes hit. I once stayed for one even though we were supposed to evacuate, nobody was hurt but it was a scary experience	2.0	3.0	1.6667	1	35.0	17.0	4.0
5	9	I have been near tornadoes and they look bad enough.  I can't imagine a hurricane.	2.0	2.6667	1.6667	2	35.0	8.0	504.0
6	0	what a sad thing to happen to someone who has gone through so much	2.0	3.3333	3.0	1	213.0	16.0	5.0
6	1	and at such a young age too.	1.6667	1.6667	2.6667	2	213.0	25.0	505.0
6	10	yes, I watch the yankees almost every night. How about you?	1.0	1.3333	0.6667	1	213.0	16.0	5.0
6	11	I like to play baseball, but watching it never really thrills me. Are the Yankees in the playoffs this year?	1.0	1.3333	0.6667	2	213.0	25.0	505.0
6	12	yes! they made it to the playoffs!	0.0	3.0	0.6667	1	213.0	16.0	5.0
