essay	emotion
I live in my mom's basement I was being very calm about what I said sir and for you to be ignorant with your words is immature please if you want to have a debate make sure there’s no assumptions and your only stating Facts because you assumed that I don’t care about white speakers. I’m black and the black community have been oppressed for years and we have been able to have open arms to other cultures including whites and it’s not fair for you to assume what you assumed	hope
That one girl whos like I do not agree with homosexuality. nnnGirl you got a short haircut the bottom of your jeans cuffed a sweater and its bergundy ish. Your not any part of Lgbtq thats a lie. You dont agree with Lgbtq people thats a lie. You probably said that because your family and your church are watching. She will come out in a few months or years.  Btw people hating Lgbtq people and they are religious people God says not to hate anyone so like its the same wrong. Also I have a family who isnt religious but is religious if you know what I mean and I respect anyone no matter what and if thats who they are I let them be who they are evn if I dont agree.	hope
Everyone hating on the girl who disagrees with homosexuality needs to think of this from a younger person’s perspective. She’s still a child. She hasn’t matured and hasn’t been able to experience enough to formulate her own opinions yet. She may have beliefs based on how her parents raised her. Doesn’t mean she’s homophobic	hope
Wow! I'm 13...I want to become an engineer!...People have told me tht I would never fit in cuase I'm a girl...I even had a teacher told me once..tht I should go to fashion school and let the boys do tht hard work...after seeing this in 2018!...I want to become an engineer and inspired girls too just like you do!	hope
The little kid that said that God gave him a choice and he chose to love is the greatest kid i've ever seen. There's so much wrong portrayal of what christianity is on the media that is refreshing to see someone who actually gets the concept. And i also love that Annie regardless of her point of view respected the survivor's opinion and got to an agreement. Ilove them all please protect them	hope
Same here. I never saw it as something I wouldn't be able to do if I wanted to. And I never thought being female should play a part in that. Who cares if there are fewer women in the engineering fields than men?! I'm here because I wanted to work on engineering projects	hope
My sister is a lesbian ... nIts not that easy (for everyone) nMaybe im just stuck up and still think she is to young to decide who she is (she is 18...)nIt was still a hard thing for me to hear	hope
I so scared I cry ever night praying my friend will be ok praying nothing happens just cause she’s not the colour of me don’t mean I not there for her she the only person I loved with my whole heart that’s not my family but she like a sister to me	hope
There are only two sexes (and also intersex people so technically three sexes) but gender identity is up to the person. It’s a very western idea that there are only two genders and many other cultures believe differently and have believed differently for thousands of years. If a person wants to express their gender as something non binary to boy and girl they should have the freedom to do so. If they aren’t hurting anyone else why make them change into something they aren’t comfortable with	hope
The only thing that puts doubt in girls minds are videos like this. to whom ever is making stuff life this. nnGet bent! And i hope to the atheist God that my daughter grows up and understands that all this is just bullshit and that her fate is in her own hands	hope
So emotional watching this I'm not black but I felt that!! why should they have to walk past that filth every day and in this day and age when they are still prosecuted every day for just  having a differnt shade of skin colour !! the most beautiful and diverse of all colours it makes me sick to think they suffer systematic racism every day wee are 1 this isnt black against white this is united wee are united it's right against wrong and wee unite together wee see if for what it really is !! Stay safe protesters	hope
Anurag Pal how is she forcefully making u do engineering? Shes trying to inspire. If u dont want to do it thats your choice but shes trying to encourage the ppl that do want to do it as a career choice. I dont  get how anything she does is forcefull?	hope
Weather your white or black just think for a solitary second suppose you were white and it is all of a sudden that it was illegal to say all live matter and only black lives matter was allowed to matter how would that make your kind feel????nnIf I were all of you I would heavily think about not caring for only one nationality one race and only one skin color and think about each and every ounce of life that is on this planet because every single day everyone is killing one another and if you all don’t stop it’s going to keep on going until there is no more life on this planet nnAll life matters because all life is precious nnLike Hannity said if you all don’t have the courage to speak out and say ALL Lives MATTER then you all are political racist cowereds. nnGod bless you Hannity.	hope
you're so amazing i'm an engineer too and i'm spending the same moments like you now because of our culture in Egypt .. and i just have the same thoughts ... thanks a lot for doing such a great thing	hope
Thank you! So true! The church has done SO many awful things in God's name and been a terrible reflection of Christ. Praying the church can wake up and repent of its past and present sins. I don't blame people for wanting to stay far from Christianity. It just breaks my heart since I know the way many Christians act is so contrary to the way Jesus called us to live. He loved sinners	hope
stop forcing people to forcefully study engineeringnengineering is made for humans nif a girls want to study engineering she willnif she wants to study something other than engineering she willnIts totally her choice.nnnnnA person should only study something in which he/she is interested in and thus can excel in that field only.	hope
I'm am fortunate to live where I do. If you contribute and act as a decent person you are treated equally the same. Regardless of race religion etc. Knowones life here is undervalued. Not even the sorry people of all colors.	hope
Abdallah Shakeel like I said why is it just black lives matter it should be all lives matter so yeah it sounds racist to me mate what about Muslims Chinese or Mexican lives I’m sure we all matter as one race and that’s humans . I don’t see colour or religion I see the person the human life	hope
All you need to do is let girls choose their own subjects. Don't make other girls have to choose what you want them too. Give them their own options. In fact I've never heard anyone tell girls that they can't choose engineering or science. Let them choose what they enjoy.	hope
The fact a lot of people become famous and forget who helped them become famous and Madonna did not! She basically saying the lgbtq helped me become me and in return I’m forever in there “debt.” (In a good way) and I will never forget that and will All ways help out. It’s not just saying okay I support the lgbtq it’s acutely doing something on a daily and not just during pride and Madonna shows that and she helped us as we helped her and that’s amazing!!!	hope
