word,anger,disgust,fear,joy,sadness,surprise,hope,preproc_word
idiotic,1,1,0,0,0,0,0,idiot
offend,1,1,0,0,0,0,0,offend
strained,1,0,0,0,0,0,0,strain
punishment,1,1,1,0,0,0,0,punish
kicking,1,0,0,0,0,0,0,kick
hardened,1,1,1,0,0,0,0,harden
slaughter,1,1,1,0,1,1,0,slaughter
unfulfilled,1,0,0,0,1,1,0,unfulfil
disillusionment,1,1,0,0,1,0,0,disillusion
imprisoned,1,1,1,0,1,0,0,imprison
cacophony,1,1,0,0,0,0,0,cacophoni
payback,1,0,0,0,0,0,0,payback
trickery,1,1,1,0,1,1,0,trickeri
retaliation,1,0,1,0,0,0,0,retali
venomous,1,1,1,0,0,0,0,venom
encumbrance,1,0,1,0,1,0,0,encumbr
lying,1,1,0,0,0,0,0,lie
recession,1,1,1,0,1,0,0,recess
remiss,1,1,0,0,1,0,0,remiss
stingy,1,1,1,0,1,0,0,stingi
defense,1,0,1,0,0,0,1,defens
suicide,1,0,1,0,1,0,0,suicid
diabolical,1,1,1,0,0,0,0,diabol
blasphemy,1,0,0,0,0,0,0,blasphemi
destroyer,1,0,1,0,0,0,0,destroy
gnome,1,1,1,0,0,0,0,gnome
fierce,1,1,1,0,0,0,0,fierc
selfish,1,1,0,0,0,0,0,selfish
stolen,1,0,0,0,0,0,0,stolen
slander,1,1,0,0,0,0,0,slander
tripping,1,0,0,0,1,0,0,trip
unforgiving,1,0,0,0,1,0,0,unforgiv
insurrection,1,0,0,0,0,0,0,insurrect
wrangling,1,1,1,0,1,0,0,wrangl
shaky,1,0,1,0,0,0,0,shaki
grudge,1,0,0,0,0,0,0,grudg
latent,1,1,0,0,0,1,0,latent
scandalous,1,0,0,0,0,0,0,scandal
mob,1,0,1,0,0,0,0,mob
exaggerate,1,0,0,0,0,0,0,exagger
rob,1,1,1,0,1,0,0,rob
deserted,1,1,1,0,1,0,0,desert
devastation,1,0,1,0,1,1,0,devast
unjust,1,0,0,0,0,0,0,unjust
dissension,1,0,0,0,0,0,0,dissens
harshness,1,0,1,0,0,0,0,harsh
litigate,1,1,1,0,1,0,0,litig
profane,1,0,0,0,0,0,0,profan
thump,1,0,0,0,0,0,0,thump
carnage,1,1,1,0,1,1,0,carnag
dishonor,1,1,1,0,1,0,0,dishonor
intense,1,1,1,1,0,1,0,intens
powerless,1,1,1,0,1,0,0,powerless
noisy,1,0,0,0,0,0,0,noisi
execution,1,0,1,0,1,0,0,execut
anathema,1,1,1,0,1,0,0,anathema
hell,1,1,1,0,1,0,0,hell
banish,1,1,1,0,1,0,0,banish
scorn,1,0,0,0,0,0,0,scorn
malign,1,1,0,0,0,0,0,malign
ridiculous,1,1,0,0,0,0,0,ridicul
mule,1,0,0,0,0,0,0,mule
censor,1,1,1,0,0,0,0,censor
murderer,1,1,1,0,1,0,0,murder
unattainable,1,0,0,0,1,0,0,unattain
restrain,1,0,1,0,0,0,0,restrain
coup,1,0,0,0,0,1,0,coup
poaching,1,1,1,0,1,0,0,poach
assassinate,1,0,1,0,0,0,0,assassin
disreputable,1,1,1,0,0,0,0,disreput
lunatic,1,1,1,0,0,0,0,lunat
gore,1,1,1,0,1,0,0,gore
morals,1,1,0,1,0,1,1,moral
disqualified,1,1,0,0,1,0,0,disqualifi
troll,1,0,1,0,0,0,0,troll
bang,1,1,1,0,1,1,0,bang
dissident,1,0,1,0,0,0,0,dissid
jealous,1,1,0,0,0,0,0,jealou
crunch,1,0,0,0,0,0,0,crunch
incompatible,1,1,0,0,1,0,0,incompat
gent,1,1,1,0,0,0,0,gent
contraband,1,1,1,0,0,0,0,contraband
insane,1,0,1,0,0,0,0,insan
eradication,1,1,1,0,0,0,0,erad
invader,1,0,1,0,1,0,0,invad
ill,1,1,1,0,1,0,0,ill
aggressive,1,0,1,0,0,0,0,aggress
sectarian,1,0,1,0,0,0,0,sectarian
savagery,1,0,1,0,0,0,0,savageri
challenge,1,0,1,0,0,0,0,challeng
antagonistic,1,1,0,0,0,0,0,antagonist
insufficiency,1,0,0,0,0,0,0,insuffici
frenzied,1,0,1,0,0,0,0,frenzi
sordid,1,1,1,0,1,0,0,sordid
remand,1,0,0,0,0,0,0,remand
slur,1,1,0,0,1,0,0,slur
soldier,1,0,0,0,1,0,0,soldier
killing,1,0,1,0,1,0,0,kill
duress,1,1,1,0,1,0,0,duress
recidivism,1,1,0,0,1,0,0,recidiv
disservice,1,1,0,0,1,0,0,disservic
despotism,1,1,1,0,1,0,0,despot
complaint,1,0,0,0,0,0,0,complaint
attack,1,0,1,0,0,0,0,attack
incarceration,1,1,1,0,1,0,0,incarcer
pest,1,1,1,0,0,0,0,pest
rabid,1,1,1,0,1,0,0,rabid
tumult,1,0,1,0,0,1,0,tumult
aversion,1,1,1,0,0,0,0,avers
thresh,1,0,1,0,1,0,0,thresh
jerk,1,0,0,0,0,1,0,jerk
loath,1,0,0,0,0,0,0,loath
wasteful,1,1,0,0,1,0,0,wast
restitution,1,0,0,0,0,0,0,restitut
inhuman,1,1,1,0,1,0,0,inhuman
fleece,1,1,0,0,1,0,0,fleec
bigot,1,1,1,0,0,0,0,bigot
discontent,1,1,1,0,1,0,0,discont
disrespectful,1,1,1,0,1,0,0,disrespect
wrath,1,0,1,0,0,0,0,wrath
disgraceful,1,1,0,0,0,0,0,disgrac
lava,1,0,1,0,0,0,0,lava
escalate,1,0,0,0,0,0,0,escal
