word,empathy,distress,count
!,4.36839481048805,4.29180536964034,1.0
!!,2.33399398365416,2.23877081014407,1.0
!!!,2.33399398365416,2.23877081014407,1.0
!!!!,2.33399398365416,2.23877081014407,1.0
!!!!!!!!!!!!!!,2.33399398365416,2.23877081014407,1.0
!',2.33399398365416,2.23877081014407,1.0
!),2.33399398365416,2.23877081014407,1.0
"!,",2.33399398365416,2.23877081014407,1.0
!?,2.33399398365416,2.23877081014407,1.0
!?!,2.33399398365416,2.23877081014407,1.0
!”,2.33399398365416,2.23877081014407,1.0
"""!""""""",2.33399398365416,2.23877081014407,1.0
"""""""""",2.38476133350099,3.18264289635284,1.0
""""""",""",2.33399398365416,2.23877081014407,1.0
""""""".""",2.33399398365416,2.23877081014407,1.0
"""""""?""",2.33399398365416,2.23877081014407,1.0
""",""""""",2.33399398365416,2.23877081014407,1.0
""".""""""",2.33399398365416,2.23877081014407,1.0
""".'""""""",2.33399398365416,2.23877081014407,1.0
"""?""""""",2.33399398365416,2.23877081014407,1.0
#,3.51459465753097,3.61020693832814,1.0
$,1.83332724011748,2.53354443692624,1.0
%,3.17290187852397,3.16450958704653,1.0
&,4.74675392845468,3.45990232611928,1.0
',3.41397021997168,3.24703223406261,1.0
(,2.97728762244851,1.33821240014074,1.0
(£,2.33399398365416,2.23877081014407,1.0
),2.83612544867044,1.39527668357274,1.0
"),",2.33399398365416,2.23877081014407,1.0
).,2.33399398365416,2.23877081014407,1.0
)?,2.33399398365416,2.23877081014407,1.0
*,2.95759701798455,2.78274522198484,1.0
**,2.33399398365416,2.23877081014407,1.0
",",4.18546973657747,3.24180240204308,1.0
",'",2.33399398365416,2.23877081014407,1.0
",,",2.08864746395425,2.27105457460833,1.0
",,,",2.33399398365416,2.23877081014407,1.0
",.",2.1929750798952,3.34983918328739,1.0
",”",2.33399398365416,2.23877081014407,1.0
-,2.85095503443012,2.81394481156124,1.0
"-,",4.44142868892163,4.51006136689179,1.0
--,1.85756274481522,2.38991570667203,1.0
.,3.49390087258629,2.37107807559618,1.0
.',3.55163220708808,2.7478713853358,1.0
.),2.33399398365416,2.23877081014407,1.0
".,",3.36004754364477,2.83096663699148,1.0
..,3.95222456457353,1.97630710599025,1.0
...,3.24671836288088,2.24479422831072,1.0
....,2.81146154329063,2.45588000072276,1.0
.....,2.54814835468722,2.18228721110373,1.0
......,2.10713601043741,2.16876984540383,1.0
.......,2.3385198212391,1.86220756157324,1.0
.........,2.14002078336615,1.74916932030963,1.0
.............,1.86342564887521,1.47089623384985,1.0
..................,2.1001028360489,1.93750505342096,1.0
.’,2.33399398365416,2.23877081014407,1.0
.’”,2.33399398365416,2.23877081014407,1.0
.”,2.33399398365416,2.23877081014407,1.0
/,3.88082690171181,2.95411253224718,1.0
/?,2.33399398365416,2.23877081014407,1.0
0,3.45708712489889,2.14404567159477,1.0
000,4.70422358379122,4.08415243629126,1.0
1,3.53624457442963,3.25555700187818,1.0
10,4.60304834099022,3.90704598092963,1.0
100,3.95902202953476,3.50438918457717,1.0
1000,3.62289491126322,3.83139247456351,1.0
101,4.47366597009602,3.47079113415713,1.0
11,4.67529955111173,4.32311099292011,1.0
12,5.05098542165927,4.43458552870842,1.0
1200,4.2811156764473,3.45907522062128,1.0
122,4.97054154680069,4.73492822243999,1.0
13,5.07015426869998,4.38225620393702,1.0
130,4.58521494091704,4.48710854907889,1.0
14,5.15286765595768,4.41317572303922,1.0
1400,4.24966058645519,3.84984710551363,1.0
1400mile,2.33399398365416,2.23877081014407,1.0
15,5.02441911764125,4.25157914091664,1.0
150,4.34210199273209,3.9928015407926,1.0
16,5.06422445878349,4.42918147401392,1.0
17,5.07973329561283,4.38316155430267,1.0
1750,4.83452084343981,2.68807882187609,1.0
175lb,3.86365148536498,2.85204461956323,1.0
18,4.90878107569044,4.44429750692785,1.0
180,3.42567543855009,4.00214362622743,1.0
1800,5.09337084345344,2.99127095284379,1.0
19,5.02838588364144,4.37003438438973,1.0
1925,4.60370184308287,2.21543954667001,1.0
1947,3.86626492867941,2.41546043418185,1.0
1950,3.90746531361475,1.95133738382228,1.0
1960,3.941035433711,1.983674094937665,2.0
1966,4.69882354232182,2.75103340331506,1.0
1969,4.52007860981954,2.82713759431229,1.0
1970,2.63698975403776,1.83713953808209,1.0
1993,4.0099776340767,2.27482133737825,1.0
1996,4.04422514375135,2.15777523408769,1.0
1997,4.08413502876981,2.24808802467598,1.0
1998,4.05000274391064,2.48816245400554,1.0
1999,4.13949346101562,2.40725530148497,1.0
19th,4.75523291010351,4.16422203471014,1.0
2,3.93132568133902,3.65231359837919,1.0
20,3.983846000071785,2.89803667677909,2.0
200,4.12331752308687,3.60323371043563,1.0
2000,4.43015908504009,2.23343666556582,1.0
2001,3.90346110465794,2.40000408936068,1.0
2002,3.96834694334047,2.41703842445974,1.0
2004,4.27347837562991,2.51108445451769,1.0
2005,4.25737721348486,2.7315806555804,1.0
2006,4.40346478198699,2.89941707678082,1.0
2007,4.43367735629036,3.09700697474222,1.0
2008,4.61165565131739,3.44670955880208,1.0
2009,4.46281429671823,3.62807290199962,1.0
2010,4.45154687484802,3.51493048572432,1.0
2011,4.47819248758938,3.85051732148381,1.0
2012,4.2811692795195,3.81532217786975,1.0
2013,4.16789838933922,3.74379884604138,1.0
2015,4.46820207809069,4.56585686442443,1.0
2016,4.50329241973918,4.66832828790586,1.0
2017,4.14688789628931,4.62408293168245,1.0
2018,4.35161656152609,4.34984645847432,1.0
2019,4.39066330411374,4.0042315768316,1.0
2020,4.03774589347426,3.30178259072686,1.0
2022,3.76633606720414,3.93217978082388,1.0
20k,3.69022272420115,1.79356184923029,1.0
20th,4.6348907049563,4.40163571264002,1.0
2196,5.61327781320556,5.02978992488451,1.0
22,5.07320818478776,4.45192356786985,1.0
220,4.74576086040681,3.95111621129127,1.0
23,4.84219890358651,4.39303635312551,1.0
230,4.36362876540455,3.88889797081764,1.0
24,4.89376683497253,4.36284038820828,1.0
25,4.89852483685853,4.11014597224351,1.0
250,4.47142439517277,3.67569375702608,1.0
25000,4.76521166596005,3.67058390773812,1.0
26,4.91634299757494,4.37026151460027,1.0
270,4.57611666798454,4.53744348797696,1.0
